Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Value
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20002002,2000,10.5
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20012003,2001,9.1
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20022004,2002,7.6
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20032005,2003,6.3
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20042006,2004,5.7
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20052007,2005,5.1
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20062008,2006,4.5
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20072009,2007,4
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20082010,2008,3.5
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20092011,2009,3
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20102012,2010,2.7
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20112013,2011,<2.5
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20122014,2012,<2.5
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20132015,2013,<2.5
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20142016,2014,<2.5
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20152017,2015,<2.5
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20162018,2016,<2.5
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20172019,2017,<2.5
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20182020,2018,<2.5
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20192021,2019,2.8
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20202022,2020,3.4
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20212023,2021,3.2
FS,Suite of Food Security Indicators,76,Brazil,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20222024,2022,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20002002,2000,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20012003,2001,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20022004,2002,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20032005,2003,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20042006,2004,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20052007,2005,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20062008,2006,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20072009,2007,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20082010,2008,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20092011,2009,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20102012,2010,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20112013,2011,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20122014,2012,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20132015,2013,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20142016,2014,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20152017,2015,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20162018,2016,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20172019,2017,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20182020,2018,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20192021,2019,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20202022,2020,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20212023,2021,<2.5
FS,Suite of Food Security Indicators,250,France,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20222024,2022,<2.5
FS,Suite of Food Security Indicators,356,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20002002,2000,18.1
FS,Suite of Food Security Indicators,356,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20012003,2001,19.7
FS,Suite of Food Security Indicators,356,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20022004,2002,21.2
FS,Suite of Food Security Indicators,356,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20032005,2003,21.7
FS,Suite of Food Security Indicators,356,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20042006,2004,21.1
FS,Suite of Food Security Indicators,356,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20052007,2005,18.9
FS,Suite of Food Security Indicators,356,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20062008,2006,16.6
FS,Suite of Food Security Indicators,356,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20072009,2007,15.3
FS,Suite of Food Security Indicators,356,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20082010,2008,15
FS,Suite of Food Security Indicators,356,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20092011,2009,14.6
FS,Suite of Food Security Indicators,356,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20102012,2010,14.2
FS,Suite of Food Security Indicators,356,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20112013,2011,13.4
FS,Suite of Food Security Indicators,356,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20122014,2012,12.8
FS,Suite of Food Security Indicators,356,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20132015,2013,12.6
FS,Suite of Food Security Indicators,356,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20142016,2014,12.1
