Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Value
"GT","Emissions totals","076","Brazil","723113","Emissions (CO2eq) (AR5)","1711","IPCC Agriculture","1961","1961","3050","FAO TIER 1","139069.1011"
"GT","Emissions totals","076","Brazil","723113","Emissions (CO2eq) (AR5)","1711","IPCC Agriculture","1962","1962","3050","FAO TIER 1","143310.9907"
"GT","Emissions totals","076","Brazil","723113","Emissions (CO2eq) (AR5)","1711","IPCC Agriculture","1963","1963","3050","FAO TIER 1","148787.1082"
"GT","Emissions totals","076","Brazil","723113","Emissions (CO2eq) (AR5)","1711","IPCC Agriculture","1964","1964","3050","FAO TIER 1","154238.8654"
"GT","Emissions totals","076","Brazil","723113","Emissions (CO2eq) (AR5)","1711","IPCC Agriculture","1965","1965","3050","FAO TIER 1","160421.4931"
"GT","Emissions totals","076","Brazil","723113","Emissions (CO2eq) (AR5)","1711","IPCC Agriculture","1966","1966","3050","FAO TIER 1","164095.1017"
"GT","Emissions totals","076","Brazil","723113","Emissions (CO2eq) (AR5)","1711","IPCC Agriculture","1967","1967","3050","FAO TIER 1","169549.2686"
"GT","Emissions totals","076","Brazil","723113","Emissions (CO2eq) (AR5)","1711","IPCC Agriculture","1968","1968","3050","FAO TIER 1","175207.8968"
"GT","Emissions totals","076","Brazil","723113","Emissions (CO2eq) (AR5)","1711","IPCC Agriculture","1969","1969","3050","FAO TIER 1","181107.3611"
"GT","Emissions totals","076","Brazil","723113","Emissions (CO2eq) (AR5)","1711","IPCC Agriculture","1970","1970","3050","FAO TIER 1","187878.0219"
"GT","Emissions totals","076","Brazil","723113","Emissions (CO2eq) (AR5)","1711","IPCC Agriculture","1971","1971","3050","FAO TIER 1","194219.4863"
"GT","Emissions totals","076","Brazil","723113","Emissions (CO2eq) (AR5)","1711","IPCC Agriculture","1972","1972","3050","FAO TIER 1","203913.8765"
"GT","Emissions totals","076","Brazil","723113","Emissions (CO2eq) (AR5)","1711","IPCC Agriculture","1973","1973","3050","FAO TIER 1","209649.23"
"GT","Emissions totals","076","Brazil","723113","Emissions (CO2eq) (AR5)","1711","IPCC Agriculture","1974","1974","3050","FAO TIER 1","221223.1701"
"GT","Emissions totals","076","Brazil","723113","Emissions (CO2eq) (AR5)","1711","IPCC Agriculture","1975","1975","3050","FAO TIER 1","228509.6234"
"GT","Emissions totals","076","Brazil","723113","Emissions (CO2eq) (AR5)","1711","IPCC Agriculture","1976","1976","3050","FAO TIER 1","250586.7849"
"GT","Emissions totals","076","Brazil","723113","Emissions (CO2eq) (AR5)","1711","IPCC Agriculture","1977","1977","3050","FAO TIER 1","262088.0475"
"GT","Emissions totals","076","Brazil","723113","Emissions (CO2eq) (AR5)","1711","IPCC Agriculture","1978","1978","3050","FAO TIER 1","260077.0509"
"GT","Emissions totals","076","Brazil","723113","Emissions (CO2eq) (AR5)","1711","IPCC Agriculture","1979","1979","3050","FAO TIER 1","266329.0821"
"GT","Emissions totals","076","Brazil","723113","Emissions (CO2eq) (AR5)","1711","IPCC Agriculture","1980","1980","3050","FAO TIER 1","289642.6198"
"GT","Emissions totals","076","Brazil","723113","Emissions (CO2eq) (AR5)","1711","IPCC Agriculture","1981","1981","3050","FAO TIER 1","293806.916"
