iso3,year,arable_land
BRA,1961,2.82694475086562
BRA,1962,2.89023634444984
BRA,1963,2.95364758187826
BRA,1964,3.01693917546248
BRA,1965,3.0802307690467
BRA,1966,3.14352236263092
BRA,1967,3.20681395621514
BRA,1968,3.27010554979936
BRA,1969,3.33339714338358
BRA,1970,3.37467426963415
BRA,1971,3.50903430667589
BRA,1972,3.64339434371762
BRA,1973,3.77763473691515
BRA,1974,3.91199477395689
BRA,1975,4.04659409868703
BRA,1976,4.37501645102858
BRA,1977,4.70331915952592
BRA,1978,5.03174151186747
BRA,1979,5.36004422036482
BRA,1980,5.68861110247017
BRA,1981,5.80787112922253
BRA,1982,5.92715604189449
BRA,1983,6.04644095456645
BRA,1984,6.1657258672384
BRA,1985,6.33008145352913
BRA,1986,6.19683326673159
BRA,1987,6.0636696681319
BRA,1988,5.93038642568801
BRA,1989,5.79722282708832
BRA,1990,5.66393958464443
BRA,1991,5.53065634220054
BRA,1992,5.39749274360085
BRA,1993,5.26420950115696
BRA,1994,5.13104590255727
BRA,1995,5.09240094087919
BRA,1996,5.16143543898523
BRA,1997,5.23046993709127
BRA,1998,5.2995044351973
BRA,1999,5.36853893330334
BRA,2000,5.43757343140938
BRA,2001,5.50660792951542
BRA,2002,5.57564242762146
BRA,2003,5.64467692572749
BRA,2004,5.71371142383353
BRA,2005,5.78274592193957
BRA,2006,5.85225899542243
BRA,2007,5.92679711036187
BRA,2008,6.00121558145712
BRA,2009,6.07575369639657
BRA,2010,6.15029181133602
BRA,2011,6.22471028243126
BRA,2012,6.29924839737071
BRA,2013,6.37366686846595
BRA,2014,6.4482049834054
BRA,2015,6.52274309834485
BRA,2016,6.59716156944009
BRA,2017,6.67158004053533
BRA,2018,6.66870858827442
BRA,2019,6.66583713601351
BRA,2020,6.66296568375261
BRA,2021,6.6600942314917
BRA,2022,6.65722277923079
BRA,2023,6.65722277923079
FRA,1961,36.3781426848502
FRA,1962,36.2371277483997
FRA,1963,36.0979682716393
FRA,1964,35.3984599684572
FRA,1965,34.8752203358382
FRA,1966,34.2573522590222
FRA,1967,33.5392893589387
FRA,1968,32.61712589294
FRA,1969,32.591149457278
FRA,1970,32.3165414231376
FRA,1971,31.6467204749977
FRA,1972,31.5929121439837
FRA,1973,31.7209388626032
FRA,1974,32.0586325262084
FRA,1975,32.160682809166
