Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Value
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20002002","2000-2002","122"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20012003","2001-2003","124"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20022004","2002-2004","127"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20032005","2003-2005","129"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20042006","2004-2006","130"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20052007","2005-2007","131"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20062008","2006-2008","132"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20072009","2007-2009","133"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20082010","2008-2010","134"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092011","2009-2011","136"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20102012","2010-2012","136"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20112013","2011-2013","136"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20122014","2012-2014","136"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","136"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","135"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","135"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","135"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","136"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20182020","2018-2020","136"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20192021","2019-2021","137"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20202022","2020-2022","138"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20212023","2021-2023","139"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20222024","2022-2024","140"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20002002","2000-2002","148"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20012003","2001-2003","148"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20022004","2002-2004","147"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20032005","2003-2005","145"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20042006","2004-2006","145"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20052007","2005-2007","144"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20062008","2006-2008","144"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20072009","2007-2009","144"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20082010","2008-2010","144"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092011","2009-2011","143"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20102012","2010-2012","142"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20112013","2011-2013","141"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20122014","2012-2014","140"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","140"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","140"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","140"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","141"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","141"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20182020","2018-2020","141"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20192021","2019-2021","142"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20202022","2020-2022","143"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20212023","2021-2023","143"
"FS","Suite of Food Security Indicators","250","France","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20222024","2022-2024","144"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20002002","2000-2002","104"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20012003","2001-2003","102"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20022004","2002-2004","100"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20032005","2003-2005","100"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20042006","2004-2006","100"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20052007","2005-2007","102"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20062008","2006-2008","104"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20072009","2007-2009","104"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20082010","2008-2010","104"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092011","2009-2011","104"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20102012","2010-2012","104"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20112013","2011-2013","105"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20122014","2012-2014","106"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","106"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","106"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","107"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","108"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","109"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20182020","2018-2020","109"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20192021","2019-2021","109"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20202022","2020-2022","110"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20212023","2021-2023","112"
"FS","Suite of Food Security Indicators","356","India","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20222024","2022-2024","113"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20002002","2000-2002","121"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20012003","2001-2003","121"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20022004","2002-2004","120"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20032005","2003-2005","120"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20042006","2004-2006","120"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20052007","2005-2007","120"
