Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Value
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","1991","1991","2783.6"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","1992","1992","2794.3"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","1993","1993","3148.8"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","1994","1994","2966.1"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","1995","1995","2409.4"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","1996","1996","2169.7"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","1997","1997","2405.7"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","1998","1998","2660"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","1999","1999","2443.8"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2000","2000","2454.1"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2001","2001","2631.6"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2002","2002","2936.9"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2003","2003","2775.7"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2004","2004","3508.5"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2005","2005","3397.8"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2006","2006","3205"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2007","2007","2652.1"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2008","2008","2869"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2009","2009","3101.1"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2010","2010","3424.4"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2011","2011","2931.1"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2012","2012","3403.7"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2013","2013","3482"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2014","2014","3696"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2015","2015","3728.8"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2016","2016","2938.3"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2017","2017","2957.8"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2018","2018","3240.5"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2019","2019","3517.1"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2020","2020","3074.3"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2021","2021","3545.4"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2022","2022","3367.2"
"QCL","Crops and livestock products","250","France","5412","Yield","01199.90","Cereals n.e.c.","2023","2023","3411.3"
