iso3,year,roots_and_tubers
BRA,1961,11968.6
BRA,1962,12321.3
BRA,1963,12652.6
BRA,1964,13046.3
BRA,1965,13164.1
BRA,1966,12952.6
BRA,1967,13339.9
BRA,1968,13655.8
BRA,1969,13833.6
BRA,1970,13688.0
BRA,1971,13765.7
BRA,1972,13830.5
BRA,1973,12092.2
BRA,1974,11941.5
BRA,1975,12287.9
BRA,1976,11793.0
BRA,1977,11596.1
BRA,1978,11516.2
BRA,1979,11586.6
BRA,1980,11438.0
BRA,1981,11684.0
BRA,1982,11282.4
BRA,1983,10544.6
BRA,1984,11762.0
BRA,1985,12244.0
BRA,1986,12267.1
BRA,1987,12131.7
BRA,1988,12267.6
BRA,1989,12524.9
BRA,1990,12560.6
BRA,1991,12613.5
BRA,1992,12095.7
BRA,1993,12196.7
BRA,1994,13221.6
BRA,1995,13143.2
BRA,1996,11909.8
BRA,1997,12925.8
BRA,1998,12584.1
BRA,1999,13477.1
BRA,2000,13660.3
BRA,2001,13834.2
BRA,2002,14152.0
BRA,2003,13901.6
BRA,2004,14085.8
BRA,2005,14069.7
BRA,2006,14494.2
BRA,2007,14609.7
BRA,2008,14805.6
BRA,2009,14520.9
BRA,2010,14667.9
BRA,2011,15396.2
BRA,2012,14524.5
BRA,2013,15010.0
BRA,2014,15696.8
BRA,2015,16200.4
BRA,2016,16133.7
BRA,2017,15833.6
BRA,2018,15977.5
BRA,2019,16029.1
BRA,2020,16274.1
BRA,2021,16368.7
BRA,2022,16451.9
BRA,2023,16917.5
FRA,1961,16099.2
FRA,1962,15528.9
FRA,1963,18926.5
FRA,1964,16736.9
FRA,1965,19514.7
FRA,1966,19761.8
FRA,1967,20190.0
FRA,1968,21327.6
FRA,1969,21537.2
FRA,1970,22218.4
FRA,1971,24877.3
FRA,1972,23877.1
FRA,1973,23141.5
FRA,1974,23873.3
FRA,1975,23068.8
FRA,1976,15378.6
FRA,1977,26141.0
FRA,1978,26926.1
FRA,1979,25955.0
FRA,1980,28924.0
FRA,1981,30515.2
FRA,1982,32335.9
FRA,1983,26050.0
FRA,1984,30278.3
FRA,1985,32445.8
FRA,1986,31082.6
FRA,1987,34883.7
FRA,1988,36621.6
FRA,1989,28508.2
FRA,1990,29079.0
FRA,1991,32162.5
FRA,1992,36543.4
FRA,1993,36007.6
FRA,1994,33530.2
FRA,1995,34735.4
FRA,1996,36175.1
FRA,1997,39784.8
FRA,1998,37355.9
FRA,1999,39736.1
FRA,2000,39598.7
FRA,2001,37438.5
FRA,2002,40958.0
FRA,2003,39074.0
FRA,2004,43981.7
FRA,2005,40947.0
FRA,2006,38969.2
FRA,2007,43886.0
FRA,2008,42072.3
FRA,2009,42330.6
FRA,2010,40653.8
FRA,2011,45120.8
FRA,2012,39742.8
FRA,2013,41402.1
FRA,2014,46071.5
FRA,2015,40798.3
FRA,2016,37147.5
FRA,2017,42213.8
FRA,2018,39388.6
FRA,2019,41322.7
FRA,2020,40764.2
FRA,2021,42474.7
FRA,2022,38113.0
FRA,2023,42186.6
IND,1961,7326.4
IND,1962,6766.9
IND,1963,7530.9
IND,1964,7948.0
IND,1965,9388.3
IND,1966,9186.2
IND,1967,8909.0
IND,1968,9836.7
IND,1969,10137.9
IND,1970,10105.0
IND,1971,11294.0
IND,1972,11940.4
IND,1973,11486.1
IND,1974,11349.7
IND,1975,11787.4
IND,1976,12447.8
IND,1977,12182.2
IND,1978,12216.4
IND,1979,12824.0
IND,1980,12444.7
IND,1981,13509.9
IND,1982,12895.7
IND,1983,13471.5
IND,1984,14761.2
IND,1985,14749.6
IND,1986,12920.4
IND,1987,14936.3
IND,1988,15749.5
IND,1989,15649.2
IND,1990,15675.1
IND,1991,16394.8
IND,1992,16524.3
IND,1993,15533.8
IND,1994,17150.5
IND,1995,16894.4
IND,1996,17199.7
IND,1997,18950.9
IND,1998,15925.6
IND,1999,17778.7
IND,2000,19140.1
IND,2001,19013.5
IND,2002,19691.0
IND,2003,17730.4
IND,2004,19074.2
IND,2005,19680.3
IND,2006,19671.6
IND,2007,17868.5
IND,2008,20469.6
IND,2009,20213.9
IND,2010,20919.4
IND,2011,23415.2
IND,2012,22861.0
IND,2013,23242.1
IND,2014,23587.3
IND,2015,22421.6
IND,2016,20112.4
IND,2017,21642.5
IND,2018,23614.1
IND,2019,23026.2
IND,2020,23912.1
IND,2021,24553.4
IND,2022,25378.4
IND,2023,25831.7
NGA,1961,8554.0
NGA,1962,7877.5
NGA,1963,8634.0
NGA,1964,8354.8
NGA,1965,8743.8
NGA,1966,8881.4
NGA,1967,8966.1
NGA,1968,8327.4
NGA,1969,9224.8
NGA,1970,9752.5
NGA,1971,8453.3
NGA,1972,8048.2
NGA,1973,8086.7
NGA,1974,9590.6
NGA,1975,10073.9
NGA,1976,9592.5
NGA,1977,10038.8
NGA,1978,11049.0
NGA,1979,10381.5
NGA,1980,9601.8
NGA,1981,7454.3
NGA,1982,7578.3
NGA,1983,7367.7
NGA,1984,7739.8
NGA,1985,8574.4
NGA,1986,8494.8
NGA,1987,8978.3
NGA,1988,10430.6
NGA,1989,10209.5
NGA,1990,10883.3
NGA,1991,10017.1
NGA,1992,10573.4
NGA,1993,10561.3
NGA,1994,10573.9
NGA,1995,10119.5
NGA,1996,10116.7
NGA,1997,10760.2
NGA,1998,9710.4
NGA,1999,8659.2
NGA,2000,8704.3
NGA,2001,8582.4
NGA,2002,8782.8
NGA,2003,9203.1
NGA,2004,9701.4
NGA,2005,9854.8
NGA,2006,10526.8
NGA,2007,9137.5
NGA,2008,10030.5
NGA,2009,9466.6
NGA,2010,10350.5
NGA,2011,8141.4
NGA,2012,6922.4
NGA,2013,6423.5
NGA,2014,7131.6
NGA,2015,6872.6
NGA,2016,8247.2
NGA,2017,8280.7
NGA,2018,8734.2
NGA,2019,6281.4
NGA,2020,6282.1
NGA,2021,6374.7
NGA,2022,6534.1
NGA,2023,6708.0
USA,1961,20728.7
USA,1962,20393.2
USA,1963,21422.9
USA,1964,20010.3
USA,1965,22150.5
USA,1966,22241.7
USA,1967,22369.4
USA,1968,22788.4
USA,1969,23587.4
USA,1970,24416.2
USA,1971,24539.3
USA,1972,25139.5
USA,1973,24553.1
USA,1974,26282.7
USA,1975,27185.8
USA,1976,27838.2
USA,1977,27915.3
USA,1978,28467.4
USA,1979,28914.6
USA,1980,28098.0
USA,1981,29372.2
USA,1982,29852.6
USA,1983,28699.4
USA,1984,29855.7
USA,1985,32128.3
USA,1986,31819.5
USA,1987,32503.8
USA,1988,30615.7
USA,1989,31288.4
USA,1990,31828.5
USA,1991,33089.5
USA,1992,35070.1
USA,1993,35298.8
USA,1994,36860.4
USA,1995,35166.0
USA,1996,38041.4
USA,1997,37499.4
USA,1998,37188.6
USA,1999,38836.0
USA,2000,40971.4
USA,2001,38549.3
USA,2002,39147.4
USA,2003,39581.9
USA,2004,42012.0
USA,2005,41930.7
USA,2006,42420.5
USA,2007,42535.4
USA,2008,42454.7
USA,2009,44399.2
USA,2010,42637.1
USA,2011,42382.9
USA,2012,43531.3
USA,2013,44224.5
USA,2014,44561.7
USA,2015,43823.1
USA,2016,44962.4
USA,2017,45294.4
USA,2018,46169.9
USA,2019,47179.0
USA,2020,47274.6
USA,2021,45665.7
USA,2022,45512.4
USA,2023,48045.1
