Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1961","1961","°c","0.005"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1962","1962","°c","-0.025"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1963","1963","°c","0.426"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1964","1964","°c","-0.28"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1965","1965","°c","-0.358"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1966","1966","°c","-0.212"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1967","1967","°c","0.078"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1968","1968","°c","-0.078"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1969","1969","°c","-0.267"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1970","1970","°c","-0.023"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1971","1971","°c","-0.415"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1972","1972","°c","-0.261"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1973","1973","°c","-0.028"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1974","1974","°c","0.089"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1975","1975","°c","-0.371"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1976","1976","°c","-0.118"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1977","1977","°c","0.39"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1978","1978","°c","0.018"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1979","1979","°c","-0.328"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1980","1980","°c","0.413"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1981","1981","°c","0.873"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1982","1982","°c","-0.346"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1983","1983","°c","0.548"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1984","1984","°c","-0.23"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1985","1985","°c","-0.023"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1986","1986","°c","0.587"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1987","1987","°c","0.915"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1988","1988","°c","0.476"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1989","1989","°c","0.316"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1990","1990","°c","0.676"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1991","1991","°c","0.531"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1992","1992","°c","0.399"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1993","1993","°c","0.011"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1994","1994","°c","0.472"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1995","1995","°c","0.641"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1996","1996","°c","-0.001"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1997","1997","°c","0.393"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1998","1998","°c","1.276"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","1999","1999","°c","0.76"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2000","2000","°c","1.005"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2001","2001","°c","0.792"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2002","2002","°c","0.954"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2003","2003","°c","0.991"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2004","2004","°c","0.866"
