year,kcal_supply_kcal_cap_day,protein_g_cap_day,gdp_pc_usd,food_production_index_2014_16_100
1970,3089.1525368148345,98.31,5165.167997,48.96
1971,3112.609290973547,99.28,5535.663898,53.18
1972,3122.807879738205,98.94,6009.65298,52.55
1973,3100.370984455958,97.4,6629.453816,53.59
1974,3091.192254567766,97.18,7118.426763,52.57
1975,3093.2319723206974,97.57,7689.085815,56.78
1976,3225.8136262612484,101.11,8470.509222,58.1
1977,3197.257577720207,99.22,9324.695054,60.17
1978,3217.654755249522,99.46,10433.184255,60.53
1979,3277.826428961003,100.33,11544.906233,63.35
1980,3241.111509408235,98.29,12430.713127,60.82
1981,3281.905864466866,100.68,13811.449871,65.92
1982,3254.3696748022903,99.21,14254.173749,66.62
1983,3294.1441709844553,100.63,15334.375883,57.69
1984,3340.0378204254152,101.77,16868.794957,65.38
1985,3447.123002454322,105.31,17952.629559,68.56
1986,3418.56695391328,104.57,18772.533403,66.04
1987,3518.513123806926,107.18,19723.7144,65.37
1988,3526.6719948186524,107.11,21081.24241,60.36
1989,3501.1755229070077,106.86,22505.550243,66.35
1990,3562.3670554949545,107.86,23535.005277,68.41
1991,3591.942962912462,109.48,24010.975336,67.33
1992,3629.6777413416958,109.99,25116.239649,73.35
1993,3676.5912496591213,110.46,26114.589437,67.27
1994,3737.7827822470676,113.15,27449.820945,77.0
1995,3651.0947777474767,111.67,28484.653041,71.51
1996,3658.2337898827373,111.7,29805.439177,76.52
1997,3720.4451813471496,112.28,31365.83296,79.13
1998,3730.6437701118075,112.91,32822.102379,80.11
1999,3745.941653258794,114.8,34546.891975,81.02
2000,3829.5700811289876,114.29,36417.513065,83.02
2001,3780.6168550586303,112.78,37223.661377,81.64
2002,3858.1261296700295,114.37,38069.328603,80.44
2003,3852.0069764112345,114.56,39517.523035,83.11
2004,3884.6424604581393,115.48,41727.355209,87.95
2005,3904.0197791109895,115.09,44093.54835,85.68
2006,3858.1261296700295,114.58,46247.692937,84.48
2007,3831.6097988819192,114.85,47952.641718,89.61
2008,3773.47784292337,112.89,48430.487907,91.2
2009,3717.3856047177524,110.9,47003.131705,93.03
2010,3730.68,110.63,48379.206655,92.23
2011,3724.24,108.62,49664.055415,91.36
2012,3759.04,109.68,51255.701654,90.89
2013,3745.33,109.6,52733.882025,95.8
