Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1961","1961","kcal/cap/d","2880"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1962","1962","kcal/cap/d","2858"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1963","1963","kcal/cap/d","2860"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1964","1964","kcal/cap/d","2926"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1965","1965","kcal/cap/d","2922"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1966","1966","kcal/cap/d","2954"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1967","1967","kcal/cap/d","2978"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1968","1968","kcal/cap/d","3001"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1969","1969","kcal/cap/d","3033"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1970","1970","kcal/cap/d","3029"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1971","1971","kcal/cap/d","3052"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1972","1972","kcal/cap/d","3062"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1973","1973","kcal/cap/d","3040"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1974","1974","kcal/cap/d","3031"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1975","1975","kcal/cap/d","3033"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1976","1976","kcal/cap/d","3163"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1977","1977","kcal/cap/d","3135"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1978","1978","kcal/cap/d","3155"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1979","1979","kcal/cap/d","3214"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1980","1980","kcal/cap/d","3178"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1981","1981","kcal/cap/d","3218"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1982","1982","kcal/cap/d","3191"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1983","1983","kcal/cap/d","3230"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1984","1984","kcal/cap/d","3275"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1985","1985","kcal/cap/d","3380"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1986","1986","kcal/cap/d","3352"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1987","1987","kcal/cap/d","3450"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1988","1988","kcal/cap/d","3458"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1989","1989","kcal/cap/d","3433"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1990","1990","kcal/cap/d","3493"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1991","1991","kcal/cap/d","3522"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1992","1992","kcal/cap/d","3559"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1993","1993","kcal/cap/d","3605"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1994","1994","kcal/cap/d","3665"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1995","1995","kcal/cap/d","3580"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1996","1996","kcal/cap/d","3587"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1997","1997","kcal/cap/d","3648"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1998","1998","kcal/cap/d","3658"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","1999","1999","kcal/cap/d","3673"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2000","2000","kcal/cap/d","3755"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2001","2001","kcal/cap/d","3707"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2002","2002","kcal/cap/d","3783"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2003","2003","kcal/cap/d","3777"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2004","2004","kcal/cap/d","3809"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2005","2005","kcal/cap/d","3828"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2006","2006","kcal/cap/d","3783"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2007","2007","kcal/cap/d","3757"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2008","2008","kcal/cap/d","3700"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2009","2009","kcal/cap/d","3645"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2010","2010","kcal/cap/d","3650"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2011","2011","kcal/cap/d","3649"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2012","2012","kcal/cap/d","3687"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2013","2013","kcal/cap/d","3682"
