Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","1961","1961","g/cap/d","95.21"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","1962","1962","g/cap/d","94.58"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","1963","1963","g/cap/d","95.6"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","1964","1964","g/cap/d","97.37"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","1965","1965","g/cap/d","96.56"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","1966","1966","g/cap/d","98.32"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","1967","1967","g/cap/d","98.73"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","1968","1968","g/cap/d","99.72"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","1969","1969","g/cap/d","99.18"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","1970","1970","g/cap/d","98.31"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","1971","1971","g/cap/d","99.28"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","1972","1972","g/cap/d","98.94"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","1973","1973","g/cap/d","97.4"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","1974","1974","g/cap/d","97.18"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","1975","1975","g/cap/d","97.57"
