domain_desc,country_name,state_alpha,state_fips_code,watershed_desc,reference_period_desc,domaincat_desc,asd_code,source_desc,state_ansi,county_code,statisticcat_desc,country_code,week_ending,Value,unit_desc,congr_district_code,agg_level_desc,location_desc,sector_desc,end_code,prodn_practice_desc,short_desc,load_time,commodity_desc,util_practice_desc,asd_desc,freq_desc,county_ansi,CV (%),zip_5,year,region_desc,class_desc,watershed_code,group_desc,begin_code,state_name,county_name
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"555,085,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1960,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"678,554,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1961,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"669,186,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1962,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"699,165,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1963,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"700,921,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1964,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"845,608,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1965,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"928,481,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1966,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"976,439,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1967,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"1,106,958,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1968,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"1,133,120,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1969,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"1,127,100,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1970,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"1,176,101,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1971,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"1,270,608,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1972,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"1,547,543,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1973,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"1,216,287,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1974,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"1,548,344,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1975,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"1,288,608,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1976,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"1,767,267,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1977,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"1,868,754,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1978,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"2,260,665,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1979,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"1,797,543,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1980,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"1,989,110,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1981,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"2,190,297,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1982,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"1,635,772,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1983,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"1,860,863,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1984,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"2,099,056,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1985,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"1,942,558,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1986,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"1,937,722,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1987,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"1,548,841,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1988,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"1,923,666,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1989,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"1,925,947,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1990,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"1,986,539,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1991,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"2,190,354,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1992,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"1,869,718,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1993,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"2,514,869,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1994,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"2,174,254,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1995,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"2,380,274,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1996,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"2,688,750,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1997,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"2,741,014,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1998,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"2,653,758,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,1999,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
