year,corn_production,corn_area_harvested,corn_yield,wheat_production,wheat_area_harvested,wheat_yield,soybeans_production,soybeans_area_harvested,soybeans_yield,A_availability,X_access,U_utilization,S_stability,FSI_geomean
1970,4152243000.0,57358000.0,72.39169775794134,1351558000.0,43564000.0,31.024653383527685,1127100000.0,42249000.0,26.67755449833132,0.1203582953453974,0.0,0.0926301926137298,0.7355699566245801,0.0016922446295061
1971,5646260000.0,64123000.0,88.0535845172559,1618636000.0,47685000.0,33.94434308482752,1176101000.0,42705000.0,27.540124107247397,0.1463267830840851,0.0,0.145859627942709,0.5379067052609516,0.0018407358517962
1972,5579832000.0,57513000.0,97.01862187679308,1546209000.0,47303000.0,32.687334841341986,1270608000.0,45683000.0,27.81358492218112,0.1576174299269931,0.0,0.1272018877243045,0.4945222982291952,0.0017744792255299
1973,5670712000.0,62143000.0,91.25262700545515,1710787000.0,54148000.0,31.59464800177292,1547543000.0,55667000.0,27.80000718558572,0.132778006872596,0.0028547799949555,0.0426932996762328,0.4685079426220155,0.0524739633232083
1974,4701402000.0,65405000.0,71.88138521519761,1781918000.0,65368000.0,27.259790723289683,1216287000.0,51341000.0,23.69036442609221,0.1226164247139791,0.0103620850629235,0.030620644240794,0.5808224185735942,0.0689466825006215
1975,5840757000.0,67625000.0,86.36978927911275,2126927000.0,69499000.0,30.603706528151484,1548344000.0,53617000.0,28.877855903911072,0.1248745540825603,0.0191235341767154,0.0520221697854351,0.6347217025962991,0.0942331001837942
1976,6289169000.0,71506000.0,87.95302492098565,2148780000.0,70927000.0,30.29565609711393,1288608000.0,49401000.0,26.084654156798447,0.2716529630403624,0.0311208930072846,0.2462821708829501,0.3512674810328831,0.1644501803459443
1977,6505041000.0,71614000.0,90.83476694501076,2045527000.0,66686000.0,30.6740095372342,1767267000.0,57830000.0,30.559692201279613,0.2400391518802207,0.0442353887373725,0.1425670855512254,0.1673148970124043,0.1261541243489097
1978,7267927000.0,71930000.0,101.04166550813292,1775524000.0,56495000.0,31.42798477741393,1868754000.0,63663000.0,29.3538476037887,0.2626204455660361,0.0612542578742269,0.1557372551171575,0.1708534369233126,0.1438368829370264
1979,7928139000.0,72400000.0,109.504682320442,2134060000.0,62454000.0,34.17010920037147,2260665000.0,70343000.0,32.137739362836385,0.3292352619391924,0.0783227605200609,0.2034791197936665,0.4473968685715445,0.2201160850167018
1980,6639396000.0,72961000.0,90.99924617261276,2380934000.0,71125000.0,33.47534622144112,1797543000.0,67813000.0,26.50735109787209,0.2885889333047244,0.0919227411025596,0.0915326784832351,0.6705781256858019,0.200877848515678
1981,8118650000.0,74524000.0,108.94007299661854,2785357000.0,80642000.0,34.539780759405765,1989110000.0,66163000.0,30.06378187204329,0.3337515206763558,0.113121484344608,0.2226856170773195,0.5010026938510976,0.2547564240765527
1982,8235101000.0,72719000.0,113.24552042794868,2764967000.0,77937000.0,35.47694933086981,2190297000.0,69442000.0,31.5413870568244,0.3032667742005047,0.1199187176750233,0.1420183284859784,0.4022284140850579,0.2134923106990449
1983,4174251000.0,51479000.0,81.08648186639212,2419824000.0,61390000.0,39.41723407721127,1635772000.0,62525000.0,26.16188724510196,0.3473002968878454,0.1365032894898072,0.2199418317510829,0.1118008323078965,0.1847780104084316
1984,7672130000.0,71897000.0,106.71001571692838,2594777000.0,66928000.0,38.76967786277791,1860863000.0,66113000.0,28.14670337150031,0.3981082076809303,0.1600615500465551,0.2825001371892665,0.064807250968391,0.1848130367193206
1985,8875453000.0,75209000.0,118.01051735829488,2424115000.0,64704000.0,37.46468533630069,2099056000.0,61599000.0,34.07613759963636,0.516659999531463,0.176701891910772,0.47676013828678,0.0002043699776246,0.0546123378532652
1986,8225764000.0,68907000.0,119.3748675751375,2090570000.0,60688000.0,34.44783153176905,1942558000.0,58312000.0,33.31317739058856,0.4850461883713208,0.1892900490288131,0.4361521154584867,0.0,0.0025155746857988
1987,7131300000.0,59505000.0,119.84371061255356,2107685000.0,55945000.0,37.674233622307625,1937722000.0,57172000.0,33.89284964668019,0.5956945274318178,0.2038937320406115,0.5793777094880106,0.0228099053389957,0.2001604126737749
1988,4928681000.0,58250000.0,84.61254935622317,1812201000.0,53189000.0,34.07097332155145,1548841000.0,57373000.0,26.99599114566085,0.604727044906144,0.2247361466811528,0.5755364100312779,0.3739580652924809,0.4135537920712188
