year,kcal_supply_kcal_cap_day,gdp_pc_usd,food_prod_index,temp_change_c,k_norm,g_norm,f_norm,t_norm,FSI_geomean,FSI_lag1,dFSI,corn_production,corn_area_harvested,corn_yield_derived,corn_yield_sum_not_used,soybeans_production,soybeans_area_harvested,soybeans_yield_derived,soybeans_yield_sum_not_used,wheat_production,wheat_area_harvested,wheat_yield_derived,wheat_yield_sum_not_used,corn_production_yoy,corn_area_harvested_yoy,corn_yield_derived_yoy,soybeans_production_yoy,soybeans_area_harvested_yoy,soybeans_yield_derived_yoy,wheat_production_yoy,wheat_area_harvested_yoy,wheat_yield_derived_yoy,corn_production_lag1,corn_production_yoy_lag1,corn_area_harvested_lag1,corn_area_harvested_yoy_lag1,corn_yield_derived_lag1,corn_yield_derived_yoy_lag1,soybeans_production_lag1,soybeans_production_yoy_lag1,soybeans_area_harvested_lag1,soybeans_area_harvested_yoy_lag1,soybeans_yield_derived_lag1,soybeans_yield_derived_yoy_lag1,wheat_production_lag1,wheat_production_yoy_lag1,wheat_area_harvested_lag1,wheat_area_harvested_yoy_lag1,wheat_yield_derived_lag1,wheat_yield_derived_yoy_lag1,dFSI_lag1,corn_production_lag2,corn_production_yoy_lag2,corn_area_harvested_lag2,corn_area_harvested_yoy_lag2,corn_yield_derived_lag2,corn_yield_derived_yoy_lag2,soybeans_production_lag2,soybeans_production_yoy_lag2,soybeans_area_harvested_lag2,soybeans_area_harvested_yoy_lag2,soybeans_yield_derived_lag2,soybeans_yield_derived_yoy_lag2,wheat_production_lag2,wheat_production_yoy_lag2,wheat_area_harvested_lag2,wheat_area_harvested_yoy_lag2,wheat_yield_derived_lag2,wheat_yield_derived_yoy_lag2,FSI_lag2,dFSI_lag2,cpi_food_index,cpi_food_yoy_pct,CRUDE_PETRO,MAIZE,SOYBEANS,WHEAT_US_HRW,WHEAT_US_SRW,us_population,cpi_food_index_lag1,cpi_food_index_lag2,cpi_food_index_yoy_pct,cpi_food_yoy_pct_lag1,cpi_food_yoy_pct_lag2,cpi_food_yoy_pct_yoy_pct,CRUDE_PETRO_lag1,CRUDE_PETRO_lag2,CRUDE_PETRO_yoy_pct,MAIZE_lag1,MAIZE_lag2,MAIZE_yoy_pct,SOYBEANS_lag1,SOYBEANS_lag2,SOYBEANS_yoy_pct,WHEAT_US_HRW_lag1,WHEAT_US_HRW_lag2,WHEAT_US_HRW_yoy_pct,WHEAT_US_SRW_lag1,WHEAT_US_SRW_lag2,WHEAT_US_SRW_yoy_pct,us_population_lag1,us_population_lag2,us_population_yoy_pct
1970,3029.0,5165.167997,48.96,-0.023,0.1762886597938144,1e-06,0.1495561559243535,1.0,0.0127425740923499,,,4152243000.0,65436000.0,63.455024757014485,72.4,1127100000.0,42249000.0,26.67755449833132,135.3,3830161000.0,87128000.0,43.960162060416856,113.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,3052.0,5535.663898,53.18,-0.415,0.2,0.0080384380826914,0.2309918950212273,1.0,0.1388192207117841,0.0127425740923499,0.1260766466194341,5646260000.0,72937000.0,77.41283573494934,88.1,1176101000.0,42705000.0,27.540124107247397,139.4,4563381000.0,95370000.0,47.849229317395405,132.1,0.3598096257853888,0.1146310899199217,0.2199638410222503,0.0434752905687161,0.0107931548675708,0.0323331589084633,0.1914332060714941,0.0945964557891837,0.0884679918046053,4152243000.0,,65436000.0,,63.455024757014485,,1127100000.0,,42249000.0,,26.67755449833132,,3830161000.0,,87128000.0,,43.960162060416856,,,,,,,,,,,,,,,,,,,,,,,40.891666666666666,2.421206428720501,1.69,58.4,125.58333333333,61.72833333333,,,39.925,,2.421206428720524,4.9967126890204,,-51.54401344626489,1.21,,39.66942148760331,58.4,,0.0,116.91666666667,,7.412687099067505,54.9025,,12.432645750794592,,,,,,
1972,3062.0,6009.65298,52.55,-0.261,0.2103092783505154,0.0183223086390049,0.2188344268622153,1.0,0.170407446369944,0.1388192207117841,0.0315882256581599,5579832000.0,65864000.0,84.7174784404227,97.0,1270608000.0,45683000.0,27.81358492218112,141.8,4356384000.0,94606000.0,46.04765025474072,124.3,-0.0117649559177225,-0.0969741009364245,0.0943595805014696,0.0803561938983131,0.0697342231588807,0.0099295418516952,-0.0453604465636334,-0.008010904896718,-0.0376511615404865,5646260000.0,0.3598096257853888,72937000.0,0.1146310899199217,77.41283573494934,0.2199638410222503,1176101000.0,0.0434752905687161,42705000.0,0.0107931548675708,27.540124107247397,0.0323331589084633,4563381000.0,0.1914332060714941,95370000.0,0.0945964557891837,47.849229317395405,0.0884679918046053,0.1260766466194341,4152243000.0,,65436000.0,,63.455024757014485,,1127100000.0,,42249000.0,,26.67755449833132,,3830161000.0,,87128000.0,,43.960162060416856,,0.0127425740923499,,42.708333333333336,4.442632973303451,1.82,55.7525,140.0,69.8125,,,40.891666666666666,39.925,4.442632973303451,2.421206428720501,4.9967126890204,83.48840150945671,1.69,1.21,7.692307692307709,58.4,58.4,-4.533390410958904,125.58333333333,116.91666666667,11.479761114800556,61.72833333333,54.9025,13.096363096369211,,,,,,
1973,3040.0,6629.453816,53.59,-0.028,0.1876288659793814,0.0317697735916236,0.2389038981088383,1.0,0.1942603882544556,0.170407446369944,0.0238529418845115,5670712000.0,71166000.0,79.6828822752438,91.3,1547543000.0,55667000.0,27.80000718558572,139.8,4872358000.0,108296000.0,44.99111693876044,120.1,0.0162872287194309,0.0804992104943519,-0.0594280691281437,0.2179547114452293,0.2185495698618742,-0.0004881692393447,0.1184408904265556,0.1447054098048749,-0.0229443480853524,5579832000.0,-0.0117649559177225,65864000.0,-0.0969741009364245,84.7174784404227,0.0943595805014696,1270608000.0,0.0803561938983131,45683000.0,0.0697342231588807,27.81358492218112,0.0099295418516952,4356384000.0,-0.0453604465636334,94606000.0,-0.008010904896718,46.04765025474072,-0.0376511615404865,0.0315882256581599,5646260000.0,0.3598096257853888,72937000.0,0.1146310899199217,77.41283573494934,0.2199638410222503,1176101000.0,0.0434752905687161,42705000.0,0.0107931548675708,27.540124107247397,0.0323331589084633,4563381000.0,0.1914332060714941,95370000.0,0.0945964557891837,47.849229317395405,0.0884679918046053,0.1388192207117841,0.1260766466194341,49.66666666666666,16.29268292682926,2.8075,97.82166666667,290.33333333333,139.81,,,42.708333333333336,40.891666666666666,16.292682926829237,4.442632973303451,2.421206428720501,266.73484000894985,1.82,1.69,54.258241758241766,55.7525,58.4,75.45700491757322,140.0,125.58333333333,107.38095238095,69.8125,61.72833333333,100.26499552372424,,,,,,
1974,3031.0,7118.426763,52.57,0.089,0.1783505154639175,0.0423787405139612,0.2192203782323427,0.9389574759945132,0.1986036909111387,0.1942603882544556,0.004343302656683,4701402000.0,76249000.0,61.65853978412832,374.5,1216287000.0,51341000.0,23.69036442609221,121.6,5264509000.0,130736000.0,40.2682428711296,98.9,-0.1709326800585182,0.07142455667032,-0.22620093521001,-0.2140528566896041,-0.0777121095083263,-0.1478288380254998,0.0804848494301937,0.2072098692472483,-0.1049734789637339,5670712000.0,0.0162872287194309,71166000.0,0.0804992104943519,79.6828822752438,-0.0594280691281437,1547543000.0,0.2179547114452293,55667000.0,0.2185495698618742,27.80000718558572,-0.0004881692393447,4872358000.0,0.1184408904265556,108296000.0,0.1447054098048749,44.99111693876044,-0.0229443480853524,0.0238529418845115,5579832000.0,-0.0117649559177225,65864000.0,-0.0969741009364245,84.7174784404227,0.0943595805014696,1270608000.0,0.0803561938983131,45683000.0,0.0697342231588807,27.81358492218112,0.0099295418516952,4356384000.0,-0.0453604465636334,94606000.0,-0.008010904896718,46.04765025474072,-0.0376511615404865,0.170407446369944,0.0315882256581599,57.04166666666666,14.848993288590597,10.9749994278,131.22583333333,276.91666666667,179.70583333333,,,49.66666666666666,42.708333333333336,14.848993288590616,16.29268292682926,4.442632973303451,-8.860969336494806,2.8075,1.82,290.9171657275156,97.82166666667,55.7525,34.148024466282735,290.33333333333,140.0,-4.621125143510973,139.81,69.8125,28.5357509000286,,,,,,
1975,3033.0,7689.085815,56.78,-0.371,0.1804123711340206,0.05476000422956,0.3004631416441528,1.0,0.2334157986999081,0.1986036909111387,0.0348121077887694,5840757000.0,77473000.0,75.39087165851329,432.3,1548344000.0,53617000.0,28.877855903911072,138.9,6257419000.0,138998000.0,45.018050619433374,115.8,0.242343666846613,0.0160526695432071,0.2227158139365657,0.2730087553348839,0.0443310414678327,0.2189705225423409,0.188604483343081,0.0631960592338759,0.1179541844769989,4701402000.0,-0.1709326800585182,76249000.0,0.07142455667032,61.65853978412832,-0.22620093521001,1216287000.0,-0.2140528566896041,51341000.0,-0.0777121095083263,23.69036442609221,-0.1478288380254998,5264509000.0,0.0804848494301937,130736000.0,0.2072098692472483,40.2682428711296,-0.1049734789637339,0.004343302656683,5670712000.0,0.0162872287194309,71166000.0,0.0804992104943519,79.6828822752438,-0.0594280691281437,1547543000.0,0.2179547114452293,55667000.0,0.2185495698618742,27.80000718558572,-0.0004881692393447,4872358000.0,0.1184408904265556,108296000.0,0.1447054098048749,44.99111693876044,-0.0229443480853524,0.1942603882544556,0.0238529418845115,61.75,8.254200146092039,10.43250012398,119.635,219.91666666667,149.055,,,57.04166666666666,49.66666666666666,8.25420014609206,14.848993288590597,16.29268292682926,-44.41239223648749,10.9749994278,2.8075,-4.943046306187792,131.22583333333,97.82166666667,-8.832737456418227,276.91666666667,290.33333333333,-20.583809810412024,179.70583333333,139.81,-17.056114854366932,,,,,,
1976,3163.0,8470.509222,58.1,-0.118,0.3144329896907216,0.0717141018500227,0.3259359320725589,1.0,0.2927967335547673,0.2334157986999081,0.0593809348548592,6289169000.0,82787000.0,75.96807469771824,424.7,1288608000.0,49401000.0,26.084654156798447,129.7,6311426000.0,141854000.0,44.49240768677655,118.0,0.0767729251533662,0.0685916383772411,0.0076561396161031,-0.1677508357315945,-0.0786317772348322,-0.0967246930073365,0.0086308748063698,0.0205470582310536,-0.0116762704162548,5840757000.0,0.242343666846613,77473000.0,0.0160526695432071,75.39087165851329,0.2227158139365657,1548344000.0,0.2730087553348839,53617000.0,0.0443310414678327,28.877855903911072,0.2189705225423409,6257419000.0,0.188604483343081,138998000.0,0.0631960592338759,45.018050619433374,0.1179541844769989,0.0348121077887694,4701402000.0,-0.1709326800585182,76249000.0,0.07142455667032,61.65853978412832,-0.22620093521001,1216287000.0,-0.2140528566896041,51341000.0,-0.0777121095083263,23.69036442609221,-0.1478288380254998,5264509000.0,0.0804848494301937,130736000.0,0.2072098692472483,40.2682428711296,-0.1049734789637339,0.1986036909111387,0.004343302656683,63.05833333333334,2.1187584345479182,11.63000011444,112.37166666667,231.16666666667,132.92,,,61.75,57.04166666666666,2.1187584345479182,8.254200146092039,14.848993288590597,-74.33114781507877,10.43250012398,10.9749994278,11.47855237219162,119.635,131.22583333333,-6.071244479734195,219.91666666667,276.91666666667,5.115574081091245,149.055,179.70583333333,-10.824863305491272,,,,,,
1977,3135.0,9324.695054,60.17,0.39,0.2855670103092783,0.0902468842724773,0.365881898880741,0.7325102880658436,0.2882861154476875,0.2927967335547673,-0.0045106181070798,6505041000.0,80928000.0,80.38059756820878,450.1,1767267000.0,57830000.0,30.559692201279613,143.6,6056617000.0,133372000.0,45.41145817712863,117.3,0.034324407564815,-0.0224552163987099,0.0580839107479052,0.3714543134917679,0.1706240764356996,0.1715582663051439,-0.0403726511251181,-0.059793872573209,0.02065634426443,6289169000.0,0.0767729251533662,82787000.0,0.0685916383772411,75.96807469771824,0.0076561396161031,1288608000.0,-0.1677508357315945,49401000.0,-0.0786317772348322,26.084654156798447,-0.0967246930073365,6311426000.0,0.0086308748063698,141854000.0,0.0205470582310536,44.49240768677655,-0.0116762704162548,0.0593809348548592,5840757000.0,0.242343666846613,77473000.0,0.0160526695432071,75.39087165851329,0.2227158139365657,1548344000.0,0.2730087553348839,53617000.0,0.0443310414678327,28.877855903911072,0.2189705225423409,6257419000.0,0.188604483343081,138998000.0,0.0631960592338759,45.018050619433374,0.1179541844769989,0.2334157986999081,0.0348121077887694,66.8,5.933659310162542,12.56500005722,95.35,280.16666666667,103.21833333333,,,63.05833333333334,61.75,5.933659310162542,2.1187584345479182,8.254200146092039,180.0536018363327,11.63000011444,10.43250012398,8.039552309368325,112.37166666667,119.635,-15.147649911753703,231.16666666667,219.91666666667,21.196827685652163,132.92,149.055,-22.34552111546042,,,,,,
1978,3155.0,10433.184255,60.53,0.018,0.3061855670103093,0.1142971417342207,0.3728290235430336,0.9876543209876544,0.336925352682409,0.2882861154476875,0.0486392372347214,7267927000.0,80554000.0,90.22428433100777,499.3,1868754000.0,63663000.0,29.3538476037887,142.2,5193244000.0,112990000.0,45.96197893618904,126.3,0.1172761247776916,-0.0046213918544879,0.1224634683055625,0.0574259577075789,0.1008646031471554,-0.0394586630490002,-0.1425503709414017,-0.1528206820022193,0.0121229482854518,6505041000.0,0.034324407564815,80928000.0,-0.0224552163987099,80.38059756820878,0.0580839107479052,1767267000.0,0.3714543134917679,57830000.0,0.1706240764356996,30.559692201279613,0.1715582663051439,6056617000.0,-0.0403726511251181,133372000.0,-0.059793872573209,45.41145817712863,0.02065634426443,-0.0045106181070798,6289169000.0,0.0767729251533662,82787000.0,0.0685916383772411,75.96807469771824,0.0076561396161031,1288608000.0,-0.1677508357315945,49401000.0,-0.0786317772348322,26.084654156798447,-0.0967246930073365,6311426000.0,0.0086308748063698,141854000.0,0.0205470582310536,44.49240768677655,-0.0116762704162548,0.2927967335547673,0.0593809348548592,73.83333333333333,10.52894211576847,12.91666666667,100.7425,268.33333333333,127.745,,,66.8,63.05833333333334,10.52894211576847,5.933659310162542,2.1187584345479182,77.44433182632535,12.56500005722,11.63000011444,2.7987792108916665,95.35,112.37166666667,5.655479811221831,280.16666666667,231.16666666667,-4.223676383107611,103.21833333333,132.92,23.7619285979598,,,,,,
1979,3214.0,11544.906233,63.35,-0.328,0.3670103092783505,0.1384175389132444,0.4272481667309919,1.0,0.383828658989877,0.336925352682409,0.046903306307468,7928139000.0,80389000.0,98.62218711515256,531.8,2260665000.0,70343000.0,32.137739362836385,156.6,6295526000.0,124908000.0,50.401303359272426,126.4,0.0908391072172298,-0.0020483154157459,0.0930780758896591,0.2097178119752519,0.1049275089141259,0.0948390751539341,0.2122530734161537,0.1054783609168953,0.0965868860683762,7267927000.0,0.1172761247776916,80554000.0,-0.0046213918544879,90.22428433100777,0.1224634683055625,1868754000.0,0.0574259577075789,63663000.0,0.1008646031471554,29.3538476037887,-0.0394586630490002,5193244000.0,-0.1425503709414017,112990000.0,-0.1528206820022193,45.96197893618904,0.0121229482854518,0.0486392372347214,6505041000.0,0.034324407564815,80928000.0,-0.0224552163987099,80.38059756820878,0.0580839107479052,1767267000.0,0.3714543134917679,57830000.0,0.1706240764356996,30.559692201279613,0.1715582663051439,6056617000.0,-0.0403726511251181,133372000.0,-0.059793872573209,45.41145817712863,0.02065634426443,0.2882861154476875,-0.0045106181070798,81.81666666666668,10.812641083521468,30.9645832777,115.5225,297.75,160.29333333333,156.31,,73.83333333333333,66.8,10.812641083521468,10.52894211576847,5.933659310162542,2.694467921218058,12.91666666667,12.56500005722,139.72580602084136,100.7425,95.35,14.671067325111032,268.33333333333,280.16666666667,10.962732919256023,127.745,103.21833333333,25.47914465014678,,,,,,
