year,kcal_supply_kcal_cap_day,gdp_pc_usd,food_prod_index,temp_change_c
1961,2880.0,,41.21,0.005
1962,2858.0,,41.26,-0.025
1963,2860.0,,42.93,0.426
1964,2926.0,,43.52,-0.28
1965,2922.0,,45.33,-0.358
1966,2954.0,,46.22,-0.212
1967,2978.0,,48.6,0.078
1968,3001.0,,49.08,-0.078
1969,3033.0,,49.71,-0.267
1970,3029.0,5165.167997,48.96,-0.023
1971,3052.0,5535.663898,53.18,-0.415
1972,3062.0,6009.65298,52.55,-0.261
1973,3040.0,6629.453816,53.59,-0.028
1974,3031.0,7118.426763,52.57,0.089
1975,3033.0,7689.085815,56.78,-0.371
1976,3163.0,8470.509222,58.1,-0.118
1977,3135.0,9324.695054,60.17,0.39
1978,3155.0,10433.184255,60.53,0.018
1979,3214.0,11544.906233,63.35,-0.328
1980,3178.0,12430.713127,60.82,0.413
1981,3218.0,13811.449871,65.92,0.873
1982,3191.0,14254.173749,66.62,-0.346
1983,3230.0,15334.375883,57.69,0.548
1984,3275.0,16868.794957,65.38,-0.23
1985,3380.0,17952.629559,68.56,-0.023
1986,3352.0,18772.533403,66.04,0.587
1987,3450.0,19723.7144,65.37,0.915
1988,3458.0,21081.24241,60.36,0.476
1989,3433.0,22505.550243,66.35,0.316
1990,3493.0,23535.005277,68.41,0.676
1991,3522.0,24010.975336,67.33,0.531
1992,3559.0,25116.239649,73.35,0.399
1993,3605.0,26114.589437,67.27,0.011
1994,3665.0,27449.820945,77.0,0.472
1995,3580.0,28484.653041,71.51,0.641
1996,3587.0,29805.439177,76.52,-0.001
1997,3648.0,31365.83296,79.13,0.393
1998,3658.0,32822.102379,80.11,1.276
1999,3673.0,34546.891975,81.02,0.76
2000,3755.0,36417.513065,83.02,1.005
2001,3707.0,37223.661377,81.64,0.792
2002,3783.0,38069.328603,80.44,0.954
2003,3777.0,39517.523035,83.11,0.991
2004,3809.0,41727.355209,87.95,0.866
2005,3828.0,44093.54835,85.68,1.155
2006,3783.0,46247.692937,84.48,1.029
2007,3757.0,47952.641718,89.61,1.143
2008,3700.0,48430.487907,91.2,0.211
2009,3645.0,47003.131705,93.03,0.401
2010,3730.68,48379.206655,92.23,0.701
2011,3724.24,49664.055415,91.36,0.541
2012,3759.04,51255.701654,90.89,1.458
2013,3745.33,52733.882025,95.8,0.616
2014,3728.99,54494.893321,98.13,0.509
2015,3736.74,56097.922727,97.01,1.533
2016,3754.29,57126.63516,104.86,2.216
2017,3763.31,59036.203856,101.95,1.421
2018,3790.3,61650.844422,103.19,1.267
2019,3819.76,63767.416914,99.64,1.023
2020,3847.34,62910.504568,103.12,1.315
2021,3875.35,69617.531988,104.86,1.155
2022,3937.0,76147.313402,101.28,1.202
2023,3947.33,80706.052992,104.64,1.199
