year,kcal_supply_kcal_cap_day,gdp_pc_usd,food_prod_index,temp_change_c,K_norm,G_norm,F_norm,T_norm,FSI_geomean
1961,2880.0,,41.21,0.005,0.02268041237113402,,1e-06,0.9965706447187929,
1962,2858.0,,41.26,-0.025,1e-06,,0.000964878425318355,1.0,
1963,2860.0,,42.93,0.426,0.002061855670103093,,0.03319181783095328,0.7078189300411523,
1964,2926.0,,43.52,-0.28,0.07010309278350516,,0.04457738324971058,1.0,
1965,2922.0,,45.33,-0.358,0.06597938144329897,,0.07950598224623692,1.0,
1966,2954.0,,46.22,-0.212,0.09896907216494845,,0.09668081821690463,1.0,
1967,2978.0,,48.6,0.078,0.12371134020618557,,0.14260903126206098,0.9465020576131687,
1968,3001.0,,49.08,-0.078,0.14742268041237114,,0.15187186414511766,1.0,
1969,3033.0,,49.71,-0.267,0.18041237113402062,,0.16402933230412967,1.0,
1970,3029.0,5165.167997,48.96,-0.023,0.17628865979381445,1e-06,0.14955615592435353,1.0,0.012742574092349922
1971,3052.0,5535.663898,53.18,-0.415,0.2,0.008038438082691437,0.2309918950212273,1.0,0.13881922071178418
1972,3062.0,6009.65298,52.55,-0.261,0.21030927835051547,0.018322308639004966,0.2188344268622153,1.0,0.17040744636994404
1973,3040.0,6629.453816,53.59,-0.028,0.18762886597938144,0.031769773591623675,0.23890389810883833,1.0,0.19426038825445566
1974,3031.0,7118.426763,52.57,0.089,0.17835051546391753,0.04237874051396126,0.21922037823234272,0.9389574759945131,0.1986036909111387
1975,3033.0,7689.085815,56.78,-0.371,0.18041237113402062,0.05476000422956007,0.30046314164415283,1.0,0.23341579869990814
1976,3163.0,8470.509222,58.1,-0.118,0.31443298969072164,0.07171410185002278,0.3259359320725589,1.0,0.2927967335547673
1977,3135.0,9324.695054,60.17,0.39,0.28556701030927834,0.09024688427247733,0.365881898880741,0.7325102880658436,0.2882861154476875
1978,3155.0,10433.184255,60.53,0.018,0.3061855670103093,0.11429714173422074,0.3728290235430336,0.9876543209876543,0.336925352682409
1979,3214.0,11544.906233,63.35,-0.328,0.3670103092783505,0.13841753891324443,0.4272481667309919,1.0,0.38382865898987706
1980,3178.0,12430.713127,60.82,0.413,0.32989690721649484,0.1576363854684192,0.37842531840988036,0.7167352537722909,0.34462233121795816
1981,3218.0,13811.449871,65.92,0.873,0.3711340206185567,0.1875934424700862,0.47684291779235816,0.4012345679012346,0.33972736027427136
1982,3191.0,14254.173749,66.62,-0.346,0.34329896907216495,0.19719896974157963,0.49035121574681595,1.0,0.42684588534835305
1983,3230.0,15334.375883,57.69,0.548,0.3835051546391753,0.2206354988570533,0.31802392898494786,0.6241426611796982,0.3599959089521051
1984,3275.0,16868.794957,65.38,-0.23,0.4298969072164949,0.2539269136499249,0.4664222307989192,1.0,0.475021289355767
1985,3380.0,17952.629559,68.56,-0.023,0.5381443298969072,0.2774422543501599,0.5277884986491702,1.0,0.529825459993668
1986,3352.0,18772.533403,66.04,0.587,0.5092783505154639,0.295231240047345,0.4791586260131224,0.5973936899862826,0.45547481363625136
1987,3450.0,19723.7144,65.37,0.915,0.6103092783505155,0.31586847119937655,0.4662292551138557,0.37242798353909456,0.427734735061787
1988,3458.0,21081.24241,60.36,0.476,0.6185567010309279,0.3453219815471315,0.36954843689695094,0.673525377229081,0.48018353943889996
1989,3433.0,22505.550243,66.35,0.316,0.5927835051546392,0.37622437559618993,0.48514087225009633,0.7832647462277091,0.5395477319657368
1990,3493.0,23535.005277,68.41,0.676,0.654639175257732,0.3985598738497158,0.5248938633732149,0.5363511659807956,0.5205998900549095
1991,3522.0,24010.975336,67.33,0.531,0.6845360824742268,0.40888672453324465,0.5040524893863373,0.6358024691358024,0.5472670898085423
1992,3559.0,25116.239649,73.35,0.399,0.722680412371134,0.43286701344083767,0.6202238517946738,0.7263374485596708,0.6126986435269153
1993,3605.0,26114.589437,67.27,0.011,0.7701030927835052,0.45452763892696446,0.5028946352759551,0.9924554183813443,0.6465085810270159
1994,3665.0,27449.820945,77.0,0.472,0.831958762886598,0.48349739479780396,0.6906599768429178,0.6762688614540466,0.6583698055809959
1995,3580.0,28484.653041,71.51,0.641,0.7443298969072165,0.5059495560962843,0.5847163257429565,0.5603566529492455,0.5926804592473217
1996,3587.0,29805.439177,76.52,-0.001,0.7515463917525773,0.5346058989763456,0.681397143959861,1.0,0.7233482954240308
1997,3648.0,31365.83296,79.13,0.393,0.8144329896907216,0.568460872203869,0.7317637977614819,0.7304526748971194,0.7053095015702249
1998,3658.0,32822.102379,80.11,1.276,0.8247422680412371,0.6000567185405025,0.7506754148977228,0.1248285322359396,0.46405467586086624
1999,3673.0,34546.891975,81.02,0.76,0.8402061855670103,0.6374784938845603,0.7682362022385179,0.4787379972565158,0.6662098047214299
2000,3755.0,36417.513065,83.02,1.005,0.9247422680412372,0.6780642919124359,0.8068313392512543,0.31069958847736634,0.6296565928042899
2001,3707.0,37223.661377,81.64,0.792,0.8752577319587629,0.6955548316835579,0.7802006947124662,0.45679012345679004,0.6824920414243474
2002,3783.0,38069.328603,80.44,0.954,0.9536082474226805,0.7139027907741026,0.7570436125048243,0.345679012345679,0.6496818700010846
2003,3777.0,39517.523035,83.11,0.991,0.9474226804123711,0.7453234387270484,0.8085681204168275,0.32030178326474623,0.653944861782383
2004,3809.0,41727.355209,87.95,0.866,0.9804123711340206,0.7932689060207295,0.9019683519876496,0.4060356652949245,0.7305436565916728
2005,3828.0,44093.54835,85.68,1.155,1.0,0.844606847963622,0.8581628714781938,0.20781893004115226,0.6229846641918069
2006,3783.0,46247.692937,84.48,1.029,0.9536082474226805,0.8913440934689763,0.8350057892705519,0.29423868312757206,0.6760069501822642
2007,3757.0,47952.641718,89.61,1.143,0.9268041237113402,0.9283353939752367,0.9340023157082207,0.21604938271604934,0.6455032931932307
2008,3700.0,48430.487907,91.2,0.211,0.8680412371134021,0.9387029499804692,0.9646854496333462,0.855281207133059,0.9055048887537449
2009,3645.0,47003.131705,93.03,0.401,0.811340206185567,0.9077344172092453,1.0,0.7249657064471879,0.8548104365615754
2010,3730.68,48379.206655,92.23,0.701,0.8996701030927834,0.9375903299274747,0.9845619451949055,0.51920438957476,0.8103440587646041
2011,3724.24,49664.055415,91.36,0.541,0.8930309278350513,0.965466960073736,0.9677730605943651,0.6289437585733881,0.8511327742905291
2012,3759.04,51255.701654,90.89,1.458,0.9289072164948453,1.0,0.958703203396372,1e-06,0.030719499019096826
2013,3745.33,52733.882025,95.8,0.616,0.9147731958762886,1.0,1.0,0.5775034293552812,0.8525443872457651
2014,3728.99,54494.893321,98.13,0.509,0.8979278350515462,1.0,1.0,0.6508916323731138,0.8743544621613304
2015,3736.74,56097.922727,97.01,1.533,0.9059175257731956,1.0,1.0,1e-06,0.030851207402549038
2016,3754.29,57126.63516,104.86,2.216,0.9240103092783505,1.0,1.0,1e-06,0.031004105368142493
2017,3763.31,59036.203856,101.95,1.421,0.9333092783505154,1.0,1.0,0.02537722908093276,0.39229922110159626
2018,3790.3,61650.844422,103.19,1.267,0.9611340206185569,1.0,1.0,0.13100137174211257,0.5956826464206325
2019,3819.76,63767.416914,99.64,1.023,0.9915051546391754,1.0,1.0,0.2983539094650206,0.7374909194739747
2020,3847.34,62910.504568,103.12,1.315,1.0,1.0,1.0,0.09807956104252402,0.5596218055822224
2021,3875.35,69617.531988,104.86,1.155,1.0,1.0,1.0,0.20781893004115226,0.6751826536161288
2022,3937.0,76147.313402,101.28,1.202,1.0,1.0,1.0,0.17558299039780523,0.6473223622764313
2023,3947.33,80706.052992,104.64,1.199,1.0,1.0,1.0,0.17764060356652944,0.6492105370068937
