iso3,year,arable_land,agriculture_value,population,gdp,roots_and_tubers,avg_dietary_energy,prevelance_severe_food_insecurity,agriculture_total,temp_c,precip_mm,disaster_count,total_affected_sum,gdp_per_capita,cereal_total_yield,food_prod_index,undernourishment_pct_y,rural_population,total_emissions
BRA,2000,5.43757343140938,4.7504599720911,174018282.0,655448188259.351,13660.3,122.0,,399568.4432,25.12,1950.31,4,87000.0,6817.783456,2643.3,56.93,10.5,18.8515634576194,5.00139462358328
BRA,2001,5.50660792951542,4.80104301895508,176301203.0,559983704094.17,13834.2,124.0,,418062.187,25.4,1765.79,5,1014446.0,6823.033185,3147.6,59.58,9.1,18.4039549378043,5.00337198493195
BRA,2002,5.57564242762146,5.47527489476281,178503484.0,509795270685.19,14152.0,127.0,,443020.6464,25.67,1805.7,3,3500.0,6944.622576,2844.8,63.68,7.6,18.0056508497327,5.06727364492225
BRA,2003,5.64467692572749,6.16718438742418,180622688.0,558233724164.711,13901.6,129.0,,462096.2976,25.45,1743.56,5,205981.0,6941.439659,3385.4,68.13,6.3,17.6459664158329,5.17332462685972
BRA,2004,5.71371142383353,5.66531157678895,182675143.0,669289321944.512,14085.8,130.0,,486336.4688,25.38,1830.78,5,155314.0,7258.781017,3131.8,70.97,5.7,17.3183175185441,5.38342920580059
BRA,2005,5.78274592193957,4.65116882266178,184688101.0,891633826625.407,14069.7,131.0,,491678.0838,25.63,1830.74,4,41344.0,7409.56828,2882.6,71.41,5.1,17.0161200403055,5.41802582073222
BRA,2006,5.85225899542243,4.37004377895807,186653106.0,1107626711163.23,14494.2,132.0,,482500.9843,25.46,1870.63,2,116000.0,7622.039194,3210.5,75.27,4.5,16.7327898635561,5.38206473778154
BRA,2007,5.92679711036187,4.41691543617235,188552320.0,1397114247188.89,14609.7,133.0,,491227.1409,25.57,1758.77,4,1206352.0,8003.25321,3553.1,80.01,4.0,16.4617428707351,5.43196816671362
BRA,2008,6.00121558145712,4.56785118104723,190367302.0,1695855391757.96,14805.6,134.0,,482582.1596,25.29,1911.46,5,1753991.0,8330.76364,3831.3,85.25,3.5,16.1963949442816,5.55561112065348
BRA,2009,6.07575369639657,4.47677399214453,192079951.0,1666996294252.12,14520.9,136.0,,482687.5881,25.49,1953.08,8,1865012.0,8246.096121,3532.1,84.2,3.0,15.9301619666349,5.37383414888522
BRA,2010,6.15029181133602,4.11575648647055,193701929.0,2208838108484.35,14667.9,136.0,,513388.2057,25.7,1767.29,5,306938.0,8792.63335,4040.6,89.12,2.7,15.656153963692,5.73059393745119
BRA,2011,6.22471028243126,4.34203412828906,195284734.0,2616156606579.21,15396.2,136.0,,510970.0675,25.4,1876.96,8,1215600.0,9067.99212,4037.5,92.33,,15.3774241400317,5.8716801693265
BRA,2012,6.29924839737071,4.16832822424109,196876111.0,2465228293706.86,14524.5,136.0,,511807.5092,25.6,1671.44,3,4299000.0,9167.498185,4584.5,91.57,,15.1026125818688,5.99366166878418
BRA,2013,6.37366686846595,4.50688618165956,198478299.0,2472819362043.74,15010.0,136.0,,507577.5122,25.53,1837.91,6,261274.0,9366.738247,4826.4,97.64,,14.8323414557274,6.12632769489827
BRA,2014,6.4482049834054,4.32561053877362,200085127.0,2456043766032.38,15696.8,135.0,0.85,516613.738,25.7,1747.26,5,27618152.0,9338.341708,4640.4,98.94,,14.5668632101832,6.24039037144425
BRA,2015,6.52274309834485,4.31914942931221,201675532.0,1802211999456.42,16200.4,135.0,0.8,519260.9639,25.99,1598.62,5,309547.0,8936.195589,5000.6,101.65,,14.3064302938119,6.11488755115816
BRA,2016,6.59716156944009,4.89135358721066,203218114.0,1795693265999.04,16133.7,135.0,0.9,521248.969,25.78,1624.65,2,50500.0,8577.84278,4181.7,99.41,,14.0512951551892,5.94586563282444
BRA,2017,6.67158004053533,4.6005916952048,204703445.0,2063514688805.78,15833.6,136.0,1.1,524558.0792,25.74,1654.01,1,104140.0,8628.252096,5209.6,106.82,,13.8017102428909,5.95612301493021
BRA,2018,6.66870858827442,4.4203993034602,206107261.0,1916933708352.71,15977.5,136.0,3.1,514228.4699,25.57,1792.99,2,1250.0,8722.3353,4806.5,107.35,,13.5579280054928,5.80242245808118
BRA,2019,6.66583713601351,4.2050140951087,207455459.0,1873288158838.63,16029.1,137.0,6.3,525923.2711,25.91,1685.41,8,10048973.0,8771.439504,5321.3,108.93,2.8,13.3202008915704,5.78584919281396
BRA,2020,6.66296568375261,5.7114851151592,208660842.0,1476107292151.95,16274.1,138.0,8.533333333333333,538605.7739,25.86,1738.04,7,18280.0,8435.010462,5255.3,111.82,3.4,13.0887813496996,5.73183731329906
BRA,2021,6.6600942314917,6.55876261207381,209550294.0,1670647464062.96,16368.7,139.0,6.6000000000000005,554230.7879,25.54,1781.75,9,1608050.0,8799.228446,4479.0,111.98,3.2,12.8639218284561,6.09489481317549
BRA,2022,6.65722277923079,5.76747490842218,210306415.0,1951923832083.87,16451.9,140.0,3.3666666666666667,574133.2522,25.48,1714.59,12,224081.0,9032.083777,4907.4,113.92,,12.650443756119,6.07942558480682
FRA,2000,34.0558493366732,1.98449655121117,60918661.0,1360959069477.49,39598.7,148.0,,85831.654,11.92,966.05,6,2509.0,33255.13796,7231.5,103.54,,23.4856016853907,8.8324544756491
FRA,2001,34.040077929307,2.00226015670254,61364377.0,1370376677298.86,37438.5,148.0,,85823.78,11.42,913.13,7,17302.0,33640.6738,6729.2,99.36,,23.0925586392189,8.84008811822534
FRA,2002,34.0875776973745,1.90378389721189,61812142.0,1492427756382.43,40958.0,147.0,,83514.553,11.86,961.5,4,13053.0,33753.5783,7453.0,104.46,,22.7456133392475,8.67271837950544
FRA,2003,34.0565915205492,1.74560664256609,62249855.0,1835095983049.09,39074.0,145.0,,81668.3916,11.84,744.26,6,30074.0,33840.61757,6125.3,95.96,,22.5308783964862,8.66905955041984
FRA,2004,34.081083588459,1.72018557547967,62707588.0,2109792297237.03,43981.7,145.0,,81291.8083,11.35,799.16,1,0.0,34557.14711,7518.7,104.2,,22.5099499988039,8.62995559644233
FRA,2005,34.0988960014844,1.58270403235962,63180854.0,2192146403028.17,40947.0,144.0,,79813.1055,11.35,682.09,5,4000.0,34946.03725,6965.4,100.25,,22.5636684894562,8.57663620691167
FRA,2006,34.027275257445,1.42706409375236,63622342.0,2317861544690.82,38969.2,144.0,,79476.825,11.9,819.84,3,602.0,35645.41624,6800.5,96.0,,22.6532759931352,8.30208513858229
FRA,2007,33.9293069858057,1.516727357675,64016890.0,2655816911866.56,43886.0,144.0,,81145.2144,11.7,849.1,3,900.0,36322.16851,6520.6,95.01,,22.7542023393843,8.16777728502587
FRA,2008,33.8968364412283,1.42030674677991,64375116.0,2926802941585.86,42072.3,144.0,,80288.1495,11.37,931.21,2,2706.0,36257.36589,7252.8,99.74,,22.8438098430633,8.00811916206877
FRA,2009,33.8736431951016,1.23241577481447,64706436.0,2700075882518.98,42330.6,143.0,,78351.6059,11.71,804.78,5,200.0,35052.85108,7412.4,100.92,,22.8994608190324,7.74717834868853
FRA,2010,33.9562111513127,1.50088040274637,65026211.0,2646230027988.34,40653.8,142.0,,78292.744,10.61,841.42,4,501079.0,35578.1968,7068.6,98.59,,22.9037155191197,7.8553723513123
FRA,2011,33.9074125614621,1.55137276231397,65340830.0,2870408553990.28,45120.8,141.0,,76212.5495,12.3,733.57,1,2300.0,36269.95615,6919.3,100.92,,22.8817282612491,7.54767577944755
FRA,2012,33.9209574172001,1.52594468949115,65657659.0,2683007095787.23,39742.8,140.0,,76514.3404,11.57,879.82,1,0.0,36161.29183,7254.5,97.79,,22.8330535080084,7.5444861657343
FRA,2013,33.9654884497634,1.36140137870511,65997932.0,2816077607875.26,41402.1,140.0,,77473.5768,11.1,939.54,4,3200.0,36256.08668,7084.8,96.25,,22.7559278529082,7.42449172498314
FRA,2014,34.0163280452732,1.46154600121993,66312067.0,2861236112552.42,46071.5,140.0,1.5666666666666669,77894.1099,12.51,930.98,7,4000.0,36444.39491,7579.1,102.48,,22.6475703211387,6.87437627302434
FRA,2015,34.2864829761573,1.50360116027898,66548272.0,2442483452642.5,40798.3,140.0,1.2,78572.1355,12.23,714.44,3,750.0,36702.43237,7590.5,102.22,,22.2389080849934,6.93738073319169
FRA,2016,34.0586622135634,1.33798472564444,66724104.0,2470407619777.13,37147.5,141.0,1.1,76963.9852,11.77,811.82,1,24.0,36920.53428,5690.9,95.29,,21.4000885294221,6.93845510462006
FRA,2017,34.2598886724186,1.43496006533197,66918020.0,2588868323334.71,42213.8,141.0,0.85,77608.0781,11.97,741.83,3,12183.0,37580.59793,7306.7,101.33,,21.3532195973632,6.96031352989822
FRA,2018,33.6328045273216,1.53110170543578,67158348.0,2781576320884.39,39388.6,141.0,0.85,75584.4345,12.67,869.14,7,4256.0,38062.4436,6829.1,97.24,,21.3285567463401,6.73556026125002
FRA,2019,33.2921152240468,1.40828485472535,67382061.0,2722793515171.76,41322.7,142.0,1.0,74069.0989,12.39,838.74,10,2558.0,38705.20729,7491.9,98.06,,21.3109215450644,6.58782758218096
FRA,2020,31.5143631134614,1.4604342657704,67601110.0,2647926055110.05,40764.2,143.0,1.5666666666666669,72588.7789,12.74,840.24,8,13917.0,35709.20459,6394.9,93.76,,21.2880868234751,5.94052967473463
FRA,2021,31.5621764542165,1.46334541457898,67842811.0,2966433692008.09,42474.7,143.0,2.2666666666666666,71046.7113,11.58,837.51,9,2402.0,38030.85717,7171.3,96.78,,21.2635396607662,6.35112539779638
FRA,2022,31.5249188236386,1.72017137018833,68184457.0,2794788137066.94,38113.0,144.0,2.7,67851.9897,13.17,672.38,6,60378.0,38868.33033,6654.9,94.55,,21.2408078876644,6.11841786757941
IND,2000,54.127048725443,21.6110620465121,1057922733.0,468395521654.458,19140.1,104.0,,654373.5647,24.8,1057.7,9,100416051.0,756.7041095,2294.2,62.0,18.1,72.3529592487477,1.73506026739289
IND,2001,53.9235635798587,21.6188848861438,1077898575.0,485440139204.171,19013.5,102.0,,659390.1409,24.93,1037.87,13,20637040.0,778.5073775,2423.1,63.96,19.7,72.0971347903364,1.72506833493123
IND,2002,53.959551861805,19.5345432709546,1097600380.0,514939140318.756,19691.0,100.0,,643091.1121,25.2,929.22,13,342023500.0,793.6159129,2187.3,59.22,21.2,71.8243121089544,1.72029696272518
IND,2003,53.7466492218795,19.5919979784251,1116803006.0,607700687237.318,17730.4,100.0,,654727.661,24.93,1061.99,15,8095859.0,841.2788946,2399.4,65.04,21.7,71.5339712302,1.73551252063876
IND,2004,53.7069612100135,17.8146906487994,1135991513.0,709152728830.775,19074.2,100.0,,664252.3948,25.03,1038.25,6,33206000.0,892.5966146,2350.0,64.09,21.1,71.2273932771472,1.79645840364654
IND,2005,53.6272488471978,17.6202069548839,1154676322.0,820383763511.445,19680.3,102.0,,684006.6487,24.77,1106.9,23,28350161.0,947.7325656,2411.6,67.45,18.9,70.9054502840893,1.82886143914537
IND,2006,53.3642316838144,16.8094420944381,1172878890.0,940259888787.721,19671.6,104.0,,698597.0235,25.03,1176.78,20,7384478.0,1008.232753,2446.5,70.88,16.6,70.5690142853196,1.88953541486283
IND,2007,53.1489746703036,16.7501197597569,1190676021.0,1216736438834.96,17868.5,104.0,,716048.1918,25.06,1126.04,20,38143033.0,1069.246968,2583.3,76.89,15.3,70.2189573151316,1.98148854800864
IND,2008,53.1398935150461,16.7909423598037,1207930964.0,1198895139005.92,20469.6,104.0,,723917.8032,24.82,1164.01,10,13989068.0,1086.506053,2637.9,78.5,15.0,69.8561514078185,2.05838725399211
IND,2009,53.1160134401098,16.7442701563161,1225524753.0,1341888016994.9,20213.9,104.0,,716470.0412,25.57,1005.53,14,11095118.0,1155.101633,2580.8,76.73,14.6,69.4814685976737,2.11779843177105
IND,2010,52.8082631786061,17.0265090136912,1243481564.0,1675615519484.96,20919.4,104.0,,726102.2043,25.51,1228.79,17,4279488.0,1235.159391,2676.4,84.0,14.2,69.0957809189906,2.1895143272104
IND,2011,52.7981730060978,17.191973558015,1261224954.0,1823051829894.55,23415.2,105.0,,736117.8765,24.88,1145.44,12,12254119.0,1281.610544,2860.7,89.57,13.4,68.7253497146691,2.26641733572931
IND,2012,52.6525381828945,16.8453770661356,1278674502.0,1827637590410.41,22861.0,106.0,,729867.0474,24.83,1070.74,9,4318360.0,1333.096266,2963.5,91.9,12.8,68.4101064395601,2.37550267503496
IND,2013,52.617558918199,17.1484235433697,1295829511.0,1856721507621.58,23242.1,106.0,,735435.6375,24.71,1235.33,11,16649477.0,1399.453798,2977.5,96.39,12.6,68.0903210764763,2.37233291409428
IND,2014,52.6246220389548,16.7919345145039,1312277191.0,2039126479154.52,23587.3,106.0,,737747.6548,24.86,1067.63,15,6154064.0,1484.316407,2966.4,99.16,12.1,67.7711766591179,2.479900071661
IND,2015,52.6078050847743,16.1745081068401,1328024498.0,2103588360044.94,22421.6,107.0,,741140.3571,24.98,1126.34,18,346548559.0,1583.998159,2854.0,98.46,11.6,67.4527009977701,2.49276960250774
IND,2016,52.5755165327477,16.3638005616331,1343944296.0,2294796885663.16,20112.4,108.0,,743815.521,25.36,1127.91,13,3806000.0,1694.46535,2995.1,102.38,10.6,67.1349219027177,2.49557843281326
IND,2017,52.433581439464,16.5583314049368,1359657400.0,2651474262755.45,21642.5,109.0,,748889.8685,25.23,1157.33,15,22395095.0,1788.697703,3127.7,109.06,10.5,66.8178671842461,2.57086932340456
IND,2018,52.2933280415984,16.031630686449,1374659064.0,2702929641648.74,23614.1,109.0,,757748.6261,25.11,1034.79,23,32361348.0,1883.357727,3278.0,114.35,11.8,66.5015646526402,2.64387221179375
IND,2019,52.2566670814849,16.7555683032837,1389030312.0,2835606256558.19,23026.2,109.0,,766334.7539,25.02,1301.33,12,23200510.0,1936.030677,3416.0,116.67,13.4,66.1860421181853,2.62146417435417
IND,2020,51.9383557727559,18.6685376603727,1402617695.0,2674851578587.27,23912.1,110.0,,787448.724,24.86,1227.51,9,19492502.0,1806.501106,3383.8,120.51,14.3,65.8713273911667,2.46756476289856
IND,2021,51.8513672856427,17.3725615260314,1414203896.0,3167270623260.47,24553.4,112.0,,790171.4641,25.07,1211.27,14,3830764.0,1965.309434,3497.8,126.76,13.5,65.5574482818696,2.63014633923763
IND,2022,51.8054794009128,16.5461295925754,1425423212.0,3346107287730.93,25378.4,113.0,,801749.5071,25.18,1272.63,6,2196260.0,2098.211245,3589.1,131.98,12.0,65.2444326005794,2.77919257007301
NGA,2000,38.4290215971101,21.3572412972176,126382494.0,69171451627.2465,8704.3,121.0,,53772.0786,26.94,1141.09,7,6500.0,1421.67988,1171.5,64.84,8.7,56.7214948749757,3.00570029896704
NGA,2001,39.1438013988164,24.4753546604632,129862595.0,73557840064.489,8582.4,121.0,,53099.8959,27.14,1151.43,3,89917.0,1465.457203,1233.6,64.68,8.7,55.8737578581461,2.97150769241905
NGA,2002,39.1844263645048,36.9650826661797,133471989.0,95054059302.6995,8782.8,120.0,,53741.0242,27.31,1142.28,2,200.0,1644.395189,1255.2,68.01,8.8,55.0206974463107,2.49361234888018
NGA,2003,39.2184634979193,33.8270605515687,137202644.0,104738954264.226,9203.1,120.0,,55464.0512,27.34,1275.08,1,210000.0,1717.214511,1308.8,70.91,8.9,54.1627919078239,2.69081111877115
NGA,2004,39.2535986033796,27.2304536006497,141057045.0,135764731645.611,9701.4,120.0,,56533.4953,27.4,1149.23,5,29900.0,1824.802695,1372.8,75.5,9.1,53.3005195110401,2.55209585597089
NGA,2005,39.2876357367941,26.0892828250796,145017253.0,175670569969.346,9854.8,120.0,,60083.8905,27.52,1187.75,2,4004.0,1889.251753,1421.7,79.76,9.2,52.4343585243137,2.42456875114025
NGA,2006,39.3227708422544,24.7349912601339,149077334.0,238454997161.48,10526.8,120.0,,60431.5756,27.46,1180.98,3,13000.0,1949.158568,1507.5,84.78,9.4,51.575728005539,2.17344173863479
NGA,2007,39.3568079756689,24.6625772142283,153267261.0,278260846800.103,9137.5,119.0,,59476.1864,27.45,1186.89,3,55000.0,2020.833163,1399.8,79.52,9.6,50.7642012826802,1.94869666262255
NGA,2008,39.3919430811292,25.2797507802655,157595014.0,339476276257.793,10030.5,119.0,,59698.2416,27.09,1201.24,0,,2098.283392,1598.4,84.56,9.9,49.9494787687649,1.9278623878291
NGA,2009,40.4844252665327,26.7488545066519,162049464.0,295008835380.997,9466.6,118.0,,57588.3283,27.78,1165.79,2,150000.0,2204.607256,1531.1,75.95,10.4,49.13546515238,1.77346405786322
NGA,2010,39.461115320004,23.8937040912791,166642886.0,366990417129.04,10350.5,117.0,,62057.5712,27.92,1243.18,1,1500200.0,2315.466765,1528.0,85.7,11.1,48.3221811744554,1.85738201869596
NGA,2011,39.4951524534185,22.2347109931956,171379598.0,414466676831.16,8141.4,116.0,,66298.0977,27.51,1063.04,5,30927.0,2370.976571,1334.4,79.36,11.7,47.509647575921,1.92668907999189
NGA,2012,39.5302875588788,21.8599586165277,176200625.0,463971018239.281,6922.4,116.0,,69437.806,27.35,1237.96,2,7015867.0,2403.653879,1399.0,87.41,11.4,46.697885097707,1.88247175627215
NGA,2013,39.5643246922933,20.7586228322439,181049443.0,520117180313.906,6423.5,117.0,,70972.7724,27.51,1075.62,1,81506.0,2495.341066,1297.3,85.84,11.1,45.8869144807432,1.85255913767158
NGA,2014,39.5994597977536,19.9902547680805,185896915.0,574183763411.508,7131.6,118.0,11.033333333333331,72355.2136,27.62,1144.8,1,10000.0,2583.61557,1555.4,96.04,10.7,45.0767564659596,1.86456886602986
NGA,2015,39.6334969311681,20.6318934800012,190671878.0,493026682800.63,6872.6,118.0,12.3,74427.5917,27.36,1067.1,1,100420.0,2585.733607,1527.1,98.55,10.8,44.2674317942862,1.79574200239429
NGA,2016,39.6686320366283,20.9831097083173,195443700.0,404649125252.16,8247.2,116.0,13.6,78132.2073,27.78,1236.38,2,13000.0,2481.814904,1596.9,105.41,11.5,43.458961206653,1.72300309500895
NGA,2017,39.7026691700429,20.8465714300542,200254579.0,375745731053.427,8280.7,115.0,15.066666666666668,78743.963,27.45,1159.69,2,10500.0,2441.712364,1506.1,107.46,12.1,42.6513654439899,1.67054407280245
NGA,2018,39.9881419019072,21.203773720121,204938755.0,421739251509.08,8734.2,114.0,17.333333333333332,80304.8303,27.45,1230.61,2,1938204.0,2431.778578,1549.3,112.87,14.3,41.8446652472271,1.69088906585775
NGA,2019,40.4844252665327,25.7349305726601,209485641.0,668219992691.462,6281.4,114.0,19.766666666666666,81967.8543,27.3,1288.9,2,71140.0,2431.535285,1629.7,110.72,15.8,41.0388813572944,1.71890397012939
NGA,2020,40.4844252665327,28.3454204380593,213996181.0,598586817819.073,6282.1,114.0,21.266666666666666,84624.228,27.4,1252.89,3,193725.0,2228.686314,1620.2,113.37,17.6,40.2340345151219,1.55930212605056
NGA,2021,40.4844252665327,29.3882780431661,218529286.0,609147716972.859,6374.7,113.0,22.600000000000005,85144.0301,27.64,1115.94,2,8330.0,2206.664063,1622.1,118.0,18.7,39.4301454616396,1.56842639388846
NGA,2022,40.4844252665327,28.5515522199731,223150896.0,646950257577.814,6534.1,111.0,24.3,85433.7906,27.12,1225.08,3,21914398.0,2254.290804,1659.7,120.72,19.9,38.6272349377775,1.50019518631016
USA,2000,19.1528849848067,1.15055536360653,282162411.0,10250947997000.0,40971.4,148.0,,368322.8047,9.24,687.97,30,62887.0,48379.75517,5854.3,83.02,,20.9259102138673,25.5874780570967
USA,2001,19.151313261849,1.1292569744094,284968955.0,10581929774000.0,38549.3,148.0,,366237.1742,9.47,698.43,26,204992.0,48361.01676,5891.1,81.64,,20.6913776332088,25.117798533528
USA,2002,18.8799945862876,0.973711859673977,287625193.0,10929112955000.0,39147.4,149.0,,365666.5587,9.46,693.71,29,173137.0,48729.15864,5546.8,80.44,,20.4538960231343,24.3108002017056
USA,2003,18.6342900833013,1.12104760396265,290107933.0,11456442041000.0,39581.9,150.0,,371343.7165,9.44,725.49,21,274741.0,49662.75205,6023.7,83.11,,20.2226649744716,24.3310950755697
USA,2004,18.3928163529042,1.26548363027696,292805298.0,12217193198000.0,42012.0,150.0,,370923.0527,9.41,771.76,20,5100537.0,51098.5573,6851.1,87.95,,20.0039063031637,24.4455914865311
