Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Value
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1961","1961","14.03"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1962","1962","14.48"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1963","1963","14.48"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1964","1964","14.47"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1965","1965","17.09"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1966","1966","15.74"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1967","1967","17"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1968","1968","17.26"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1969","1969","17.94"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1970","1970","18.33"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1971","1971","19.32"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1972","1972","20.45"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1973","1973","19.86"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1974","1974","21.49"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1975","1975","22.26"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1976","1976","23.31"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1977","1977","24.65"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1978","1978","24.43"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1979","1979","25.85"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1980","1980","28.66"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1981","1981","30.12"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1982","1982","30.18"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1983","1983","30.75"
