iso3,year,gdp
BRA,1960,17030465539.3906
BRA,1961,17275940449.3837
BRA,1962,19231747851.5332
BRA,1963,23287712878.2002
BRA,1964,20963733694.9749
BRA,1965,22465522884.0988
BRA,1966,28283323733.1114
BRA,1967,31086389194.961
BRA,1968,33930457425.2613
BRA,1969,37171640818.5863
BRA,1970,42327664793.6934
BRA,1971,48869830901.7878
BRA,1972,58434858374.8696
BRA,1973,83592275862.9982
BRA,1974,109794519727.538
BRA,1975,129203555238.827
BRA,1976,153168949208.207
BRA,1977,176344101401.941
BRA,1978,200278646123.581
BRA,1979,221338204480.222
BRA,1980,237393489892.637
BRA,1981,258015174748.648
BRA,1982,271314113768.417
BRA,1983,189656506321.431
BRA,1984,188339974086.58
BRA,1985,210879844638.877
BRA,1986,256480852471.129
BRA,1987,283056836893.838
BRA,1988,307881930752.268
BRA,1989,412990820287.42
BRA,1990,390725626002.866
BRA,1991,342609231342.783
BRA,1992,328187960871.951
BRA,1993,368295778245.09
BRA,1994,525369851353.742
BRA,1995,769333330411.575
BRA,1996,850426433004.077
BRA,1997,883206452795.124
BRA,1998,863711007325.493
BRA,1999,599642075004.471
BRA,2000,655448188259.351
BRA,2001,559983704094.17
BRA,2002,509795270685.19
BRA,2003,558233724164.711
BRA,2004,669289321944.512
BRA,2005,891633826625.407
BRA,2006,1107626711163.23
BRA,2007,1397114247188.89
BRA,2008,1695855391757.96
BRA,2009,1666996294252.12
BRA,2010,2208838108484.35
BRA,2011,2616156606579.21
BRA,2012,2465228293706.86
BRA,2013,2472819362043.74
BRA,2014,2456043766032.38
BRA,2015,1802211999456.42
BRA,2016,1795693265999.04
BRA,2017,2063514688805.78
BRA,2018,1916933708352.71
BRA,2019,1873288158838.63
BRA,2020,1476107292151.95
BRA,2021,1670647464062.96
BRA,2022,1951923832083.87
BRA,2023,2191131869706.02
FRA,1960,61959085885.3427
FRA,1961,67158050215.0488
FRA,1962,75196980365.0325
FRA,1963,84227606649.8725
FRA,1964,93424179943.3453
FRA,1965,100927668584.29
FRA,1966,109306730313.216
FRA,1967,118088635380.954
FRA,1968,128710572572.436
FRA,1969,140660914840.59
FRA,1970,147312861698.358
FRA,1971,164694210962.472
FRA,1972,201738881664.499
FRA,1973,261970536240.424
FRA,1974,282739225313.693
FRA,1975,357324307786.446
FRA,1976,368363152144.223
FRA,1977,406401711687.617
FRA,1978,501724418604.651
FRA,1979,608218624730.188
FRA,1980,694529183483.39
FRA,1981,609184791792.396
FRA,1982,578152310609.841
FRA,1983,553356312935.709
FRA,1984,525033325827.516
FRA,1985,547220981165.134
FRA,1986,764946585850.933
FRA,1987,926320855614.973
FRA,1988,1010827662151.75
FRA,1989,1016742237302.08
FRA,1990,1257649439826.53
FRA,1991,1258961748633.88
FRA,1992,1389663073110.28
FRA,1993,1314383368079.69
FRA,1994,1385822778827.98
FRA,1995,1595219345511.89
FRA,1996,1598889216566.23
FRA,1997,1449392222971.45
FRA,1998,1496906382032.47
