iso3,year,roots_and_tubers,avg_dietary_energy,prevelance_severe_food_insecurity,agriculture_total
BRA,1961,11968.6,,,139069.1011
BRA,1962,12321.3,,,143310.9907
BRA,1963,12652.6,,,148787.1082
BRA,1964,13046.3,,,154238.8654
BRA,1965,13164.1,,,160421.4931
BRA,1966,12952.6,,,164095.1017
BRA,1967,13339.9,,,169549.2686
BRA,1968,13655.8,,,175207.8968
BRA,1969,13833.6,,,181107.3611
BRA,1970,13688.0,,,187878.0219
BRA,1971,13765.7,,,194219.4863
BRA,1972,13830.5,,,203913.8765
BRA,1973,12092.2,,,209649.23
BRA,1974,11941.5,,,221223.1701
BRA,1975,12287.9,,,228509.6234
BRA,1976,11793.0,,,250586.7849
BRA,1977,11596.1,,,262088.0475
BRA,1978,11516.2,,,260077.0509
BRA,1979,11586.6,,,266329.0821
BRA,1980,11438.0,,,289642.6198
BRA,1981,11684.0,,,293806.916
BRA,1982,11282.4,,,297466.4861
BRA,1983,10544.6,,,295763.7556
BRA,1984,11762.0,,,306112.1206
BRA,1985,12244.0,,,307519.0681
BRA,1986,12267.1,,,318716.3092
BRA,1987,12131.7,,,327501.7793
BRA,1988,12267.6,,,334980.6591
BRA,1989,12524.9,,,343966.7202
BRA,1990,12560.6,,,357782.7546
BRA,1991,12613.5,,,369505.5944
BRA,1992,12095.7,,,375855.0984
BRA,1993,12196.7,,,377429.2539
BRA,1994,13221.6,,,385678.9957
BRA,1995,13143.2,,,392115.6714
BRA,1996,11909.8,,,373147.6818
BRA,1997,12925.8,,,381430.768
BRA,1998,12584.1,,,392255.4327
BRA,1999,13477.1,,,394525.8846
BRA,2000,13660.3,122.0,,399568.4432
BRA,2001,13834.2,124.0,,418062.187
BRA,2002,14152.0,127.0,,443020.6464
BRA,2003,13901.6,129.0,,462096.2976
BRA,2004,14085.8,130.0,,486336.4688
BRA,2005,14069.7,131.0,,491678.0838
BRA,2006,14494.2,132.0,,482500.9843
BRA,2007,14609.7,133.0,,491227.1409
BRA,2008,14805.6,134.0,,482582.1596
BRA,2009,14520.9,136.0,,482687.5881
BRA,2010,14667.9,136.0,,513388.2057
BRA,2011,15396.2,136.0,,510970.0675
BRA,2012,14524.5,136.0,,511807.5092
BRA,2013,15010.0,136.0,,507577.5122
BRA,2014,15696.8,135.0,0.85,516613.738
BRA,2015,16200.4,135.0,0.8,519260.9639
BRA,2016,16133.7,135.0,0.9,521248.969
BRA,2017,15833.6,136.0,1.1,524558.0792
BRA,2018,15977.5,136.0,3.1,514228.4699
BRA,2019,16029.1,137.0,6.3,525923.2711
BRA,2020,16274.1,138.0,8.533333333333333,538605.7739
BRA,2021,16368.7,139.0,6.6000000000000005,554230.7879
BRA,2022,16451.9,140.0,3.3666666666666667,574133.2522
BRA,2023,16917.5,,,581948.7618
FRA,1961,16099.2,,,74632.6466
FRA,1962,15528.9,,,77461.3069
FRA,1963,18926.5,,,76675.5206
FRA,1964,16736.9,,,76227.5356
FRA,1965,19514.7,,,77214.4248
FRA,1966,19761.8,,,78469.5973
FRA,1967,20190.0,,,81478.583
FRA,1968,21327.6,,,83463.7161
FRA,1969,21537.2,,,82617.2174
FRA,1970,22218.4,,,84095.9503
FRA,1971,24877.3,,,85232.2703
FRA,1972,23877.1,,,85972.1243
FRA,1973,23141.5,,,89626.5904
FRA,1974,23873.3,,,90837.5829
FRA,1975,23068.8,,,92210.9615
FRA,1976,15378.6,,,92701.5519
FRA,1977,26141.0,,,92588.8093
FRA,1978,26926.1,,,93680.7594
FRA,1979,25955.0,,,94940.7512
FRA,1980,28924.0,,,95146.5162
FRA,1981,30515.2,,,95082.0336
FRA,1982,32335.9,,,94901.8897
FRA,1983,26050.0,,,95660.9346
FRA,1984,30278.3,,,96441.0728
FRA,1985,32445.8,,,94914.1813
FRA,1986,31082.6,,,94859.62
FRA,1987,34883.7,,,91207.9551
FRA,1988,36621.6,,,89083.4363
FRA,1989,28508.2,,,88998.8434
FRA,1990,29079.0,,,89100.318
FRA,1991,32162.5,,,87911.2774
FRA,1992,36543.4,,,84122.5139
FRA,1993,36007.6,,,83508.0166
FRA,1994,33530.2,,,83957.3913
FRA,1995,34735.4,,,84430.0249
