iso3,year,population
BRA,1960,72388126.0
BRA,1961,74605447.0
BRA,1962,76865323.0
BRA,1963,79164235.0
BRA,1964,81488595.0
BRA,1965,83817583.0
BRA,1966,86139359.0
BRA,1967,88446124.0
BRA,1968,90741240.0
BRA,1969,93045777.0
BRA,1970,95375651.0
BRA,1971,97739273.0
BRA,1972,100146797.0
BRA,1973,102600976.0
BRA,1974,105089675.0
BRA,1975,107619565.0
BRA,1976,110213349.0
BRA,1977,112875292.0
BRA,1978,115600942.0
BRA,1979,118380821.0
BRA,1980,121207461.0
BRA,1981,124063109.0
BRA,1982,126923155.0
BRA,1983,129790077.0
BRA,1984,132658864.0
BRA,1985,135515595.0
BRA,1986,138336370.0
BRA,1987,141104944.0
BRA,1988,143826357.0
BRA,1989,146502972.0
BRA,1990,149143223.0
BRA,1991,151724256.0
BRA,1992,154275079.0
BRA,1993,156794577.0
BRA,1994,159265006.0
BRA,1995,161735073.0
BRA,1996,164202549.0
BRA,1997,166661659.0
BRA,1998,169159655.0
BRA,1999,171641543.0
BRA,2000,174018282.0
BRA,2001,176301203.0
BRA,2002,178503484.0
BRA,2003,180622688.0
BRA,2004,182675143.0
BRA,2005,184688101.0
BRA,2006,186653106.0
BRA,2007,188552320.0
BRA,2008,190367302.0
BRA,2009,192079951.0
BRA,2010,193701929.0
BRA,2011,195284734.0
BRA,2012,196876111.0
BRA,2013,198478299.0
BRA,2014,200085127.0
BRA,2015,201675532.0
BRA,2016,203218114.0
BRA,2017,204703445.0
BRA,2018,206107261.0
BRA,2019,207455459.0
BRA,2020,208660842.0
BRA,2021,209550294.0
BRA,2022,210306415.0
BRA,2023,211140729.0
FRA,1960,47412964.0
FRA,1961,47905982.0
FRA,1962,48389516.0
FRA,1963,48877567.0
FRA,1964,49401492.0
FRA,1965,49877725.0
FRA,1966,50311637.0
FRA,1967,50722791.0
FRA,1968,51112980.0
FRA,1969,51536014.0
FRA,1970,52007169.0
FRA,1971,52499553.0
FRA,1972,52962356.0
FRA,1973,53392161.0
FRA,1974,53746571.0
FRA,1975,54002853.0
FRA,1976,54232383.0
FRA,1977,54486467.0
FRA,1978,54734030.0
FRA,1979,54979851.0
FRA,1980,55274184.0
FRA,1981,55603353.0
FRA,1982,55806789.0
FRA,1983,56108330.0
FRA,1984,56383085.0
FRA,1985,56665619.0
FRA,1986,56956002.0
FRA,1987,57266167.0
FRA,1988,57598186.0
FRA,1989,57943062.0
FRA,1990,58261012.0
FRA,1991,58554242.0
FRA,1992,58846584.0
FRA,1993,59103094.0
FRA,1994,59324863.0
FRA,1995,59541294.0
FRA,1996,59754504.0
FRA,1997,59968066.0
FRA,1998,60190684.0
FRA,1999,60501986.0
FRA,2000,60918661.0
FRA,2001,61364377.0
FRA,2002,61812142.0
FRA,2003,62249855.0
FRA,2004,62707588.0
FRA,2005,63180854.0
FRA,2006,63622342.0
FRA,2007,64016890.0
FRA,2008,64375116.0
FRA,2009,64706436.0
FRA,2010,65026211.0
FRA,2011,65340830.0
FRA,2012,65657659.0
FRA,2013,65997932.0
FRA,2014,66312067.0
FRA,2015,66548272.0
FRA,2016,66724104.0
FRA,2017,66918020.0
FRA,2018,67158348.0
FRA,2019,67382061.0
FRA,2020,67601110.0
FRA,2021,67842811.0
FRA,2022,68184457.0
FRA,2023,68372286.0
IND,1960,435990338.0
IND,1961,446564729.0
IND,1962,457283090.0
IND,1963,468138575.0
IND,1964,479229598.0
IND,1965,490140146.0
IND,1966,500740247.0
IND,1967,511606372.0
IND,1968,522716889.0
IND,1969,533880544.0
IND,1970,545864268.0
IND,1971,558096387.0
IND,1972,570482142.0
IND,1973,583465598.0
IND,1974,597041391.0
IND,1975,611309535.0
IND,1976,625861883.0
IND,1977,640801103.0
IND,1978,655728229.0
IND,1979,671155747.0
IND,1980,687354025.0
IND,1981,703696250.0
IND,1982,720313473.0
IND,1983,737372681.0
IND,1984,754875449.0
IND,1985,772647793.0
IND,1986,790689978.0
IND,1987,808931270.0
IND,1988,827342990.0
IND,1989,846039529.0
IND,1990,864972221.0
IND,1991,883927600.0
IND,1992,902957070.0
IND,1993,922118387.0
IND,1994,941163767.0
IND,1995,960301044.0
IND,1996,979678458.0
IND,1997,999133762.0
IND,1998,1018665080.0
IND,1999,1038225823.0
IND,2000,1057922733.0
IND,2001,1077898575.0
IND,2002,1097600380.0
IND,2003,1116803006.0
IND,2004,1135991513.0
IND,2005,1154676322.0
IND,2006,1172878890.0
IND,2007,1190676021.0
IND,2008,1207930964.0
IND,2009,1225524753.0
IND,2010,1243481564.0
IND,2011,1261224954.0
IND,2012,1278674502.0
IND,2013,1295829511.0
IND,2014,1312277191.0
IND,2015,1328024498.0
IND,2016,1343944296.0
IND,2017,1359657400.0
IND,2018,1374659064.0
IND,2019,1389030312.0
IND,2020,1402617695.0
IND,2021,1414203896.0
IND,2022,1425423212.0
IND,2023,1438069596.0
NGA,1960,45053782.0
NGA,1961,45989310.0
NGA,1962,46965292.0
NGA,1963,47973575.0
NGA,1964,49012016.0
NGA,1965,50086764.0
NGA,1966,51188234.0
NGA,1967,52293065.0
NGA,1968,53432783.0
NGA,1969,54631914.0
NGA,1970,55893838.0
NGA,1971,57214684.0
NGA,1972,58601748.0
NGA,1973,60082139.0
NGA,1974,61679144.0
NGA,1975,63410815.0
NGA,1976,65258009.0
NGA,1977,67234590.0
NGA,1978,69326532.0
NGA,1979,71498242.0
NGA,1980,73764641.0
NGA,1981,76068103.0
NGA,1982,78378701.0
NGA,1983,80438260.0
NGA,1984,82526443.0
NGA,1985,84897973.0
NGA,1986,87235953.0
NGA,1987,89591716.0
NGA,1988,92020090.0
NGA,1989,94531014.0
NGA,1990,97120925.0
NGA,1991,99720162.0
NGA,1992,102372770.0
NGA,1993,105122069.0
NGA,1994,107935714.0
NGA,1995,110819428.0
NGA,1996,113754779.0
NGA,1997,116754792.0
NGA,1998,119846254.0
NGA,1999,123047320.0
NGA,2000,126382494.0
NGA,2001,129862595.0
NGA,2002,133471989.0
NGA,2003,137202644.0
NGA,2004,141057045.0
NGA,2005,145017253.0
NGA,2006,149077334.0
NGA,2007,153267261.0
NGA,2008,157595014.0
NGA,2009,162049464.0
NGA,2010,166642886.0
NGA,2011,171379598.0
NGA,2012,176200625.0
NGA,2013,181049443.0
NGA,2014,185896915.0
NGA,2015,190671878.0
NGA,2016,195443700.0
NGA,2017,200254579.0
NGA,2018,204938755.0
NGA,2019,209485641.0
NGA,2020,213996181.0
NGA,2021,218529286.0
NGA,2022,223150896.0
NGA,2023,227882945.0
USA,1960,180671000.0
USA,1961,183691000.0
USA,1962,186538000.0
USA,1963,189242000.0
USA,1964,191889000.0
USA,1965,194303000.0
USA,1966,196560000.0
USA,1967,198712000.0
USA,1968,200706000.0
USA,1969,202677000.0
USA,1970,205052000.0
USA,1971,207661000.0
USA,1972,209896000.0
USA,1973,211909000.0
USA,1974,213854000.0
USA,1975,215973000.0
USA,1976,218035000.0
USA,1977,220239000.0
USA,1978,222585000.0
USA,1979,225055000.0
USA,1980,227225000.0
USA,1981,229466000.0
USA,1982,231664000.0
USA,1983,233792000.0
USA,1984,235825000.0
USA,1985,237924000.0
USA,1986,240133000.0
USA,1987,242289000.0
USA,1988,244499000.0
USA,1989,246819000.0
USA,1990,249623000.0
USA,1991,252981000.0
USA,1992,256514000.0
USA,1993,259919000.0
USA,1994,263126000.0
USA,1995,266278000.0
USA,1996,269394000.0
USA,1997,272657000.0
USA,1998,275854000.0
USA,1999,279040000.0
USA,2000,282162411.0
USA,2001,284968955.0
USA,2002,287625193.0
USA,2003,290107933.0
USA,2004,292805298.0
USA,2005,295516599.0
USA,2006,298379912.0
