Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Value
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20142016","2014-2016","0.7"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20152017","2015-2017","0.7"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20162018","2016-2018","0.9"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","1.1"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20182020","2018-2020","3.1"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","6.3"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20202022","2020-2022","8.5"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20212023","2021-2023","6.6"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20222024","2022-2024","3.4"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20142016","2014-2016","<0.5"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20152017","2015-2017","<0.5"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20162018","2016-2018","0.6"
"FS","Suite of Food Security Indicators","076","Brazil","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","0.7"
