Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Value
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1961","1961","11968.6"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1962","1962","12321.3"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1963","1963","12652.6"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1964","1964","13046.3"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1965","1965","13164.1"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1966","1966","12952.6"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1967","1967","13339.9"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1968","1968","13655.8"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1969","1969","13833.6"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1970","1970","13688"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1971","1971","13765.7"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1972","1972","13830.5"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1973","1973","12092.2"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1974","1974","11941.5"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1975","1975","12287.9"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1976","1976","11793"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1977","1977","11596.1"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1978","1978","11516.2"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1979","1979","11586.6"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1980","1980","11438"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1981","1981","11684"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1982","1982","11282.4"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1983","1983","10544.6"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1984","1984","11762"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1985","1985","12244"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1986","1986","12267.1"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1987","1987","12131.7"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1988","1988","12267.6"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1989","1989","12524.9"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1990","1990","12560.6"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1991","1991","12613.5"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1992","1992","12095.7"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1993","1993","12196.7"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1994","1994","13221.6"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1995","1995","13143.2"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1996","1996","11909.8"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1997","1997","12925.8"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1998","1998","12584.1"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","1999","1999","13477.1"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2000","2000","13660.3"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2001","2001","13834.2"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2002","2002","14152"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2003","2003","13901.6"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2004","2004","14085.8"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2005","2005","14069.7"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2006","2006","14494.2"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2007","2007","14609.7"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2008","2008","14805.6"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2009","2009","14520.9"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2010","2010","14667.9"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2011","2011","15396.2"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2012","2012","14524.5"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2013","2013","15010"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2014","2014","15696.8"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2015","2015","16200.4"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2016","2016","16133.7"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2017","2017","15833.6"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2018","2018","15977.5"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2019","2019","16029.1"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2020","2020","16274.1"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2021","2021","16368.7"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2022","2022","16451.9"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1720","Roots and Tubers, Total","2023","2023","16917.5"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1961","1961","16099.2"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1962","1962","15528.9"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1963","1963","18926.5"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1964","1964","16736.9"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1965","1965","19514.7"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1966","1966","19761.8"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1967","1967","20190"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1968","1968","21327.6"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1969","1969","21537.2"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1970","1970","22218.4"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1971","1971","24877.3"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1972","1972","23877.1"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1973","1973","23141.5"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1974","1974","23873.3"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1975","1975","23068.8"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1976","1976","15378.6"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1977","1977","26141"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1978","1978","26926.1"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1979","1979","25955"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1980","1980","28924"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1981","1981","30515.2"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1982","1982","32335.9"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1983","1983","26050"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1984","1984","30278.3"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1985","1985","32445.8"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1986","1986","31082.6"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1987","1987","34883.7"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1988","1988","36621.6"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1989","1989","28508.2"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1990","1990","29079"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1991","1991","32162.5"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1992","1992","36543.4"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1993","1993","36007.6"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1994","1994","33530.2"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1995","1995","34735.4"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1996","1996","36175.1"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1997","1997","39784.8"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1998","1998","37355.9"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","1999","1999","39736.1"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2000","2000","39598.7"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2001","2001","37438.5"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2002","2002","40958"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2003","2003","39074"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2004","2004","43981.7"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2005","2005","40947"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2006","2006","38969.2"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2007","2007","43886"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2008","2008","42072.3"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2009","2009","42330.6"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2010","2010","40653.8"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2011","2011","45120.8"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2012","2012","39742.8"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2013","2013","41402.1"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2014","2014","46071.5"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2015","2015","40798.3"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2016","2016","37147.5"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2017","2017","42213.8"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2018","2018","39388.6"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2019","2019","41322.7"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2020","2020","40764.2"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2021","2021","42474.7"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2022","2022","38113"
"QCL","Crops and livestock products","250","France","5412","Yield","F1720","Roots and Tubers, Total","2023","2023","42186.6"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1961","1961","7326.4"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1962","1962","6766.9"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1963","1963","7530.9"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1964","1964","7948"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1965","1965","9388.3"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1966","1966","9186.2"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1967","1967","8909"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1968","1968","9836.7"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1969","1969","10137.9"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1970","1970","10105"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1971","1971","11294"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1972","1972","11940.4"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1973","1973","11486.1"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1974","1974","11349.7"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1975","1975","11787.4"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1976","1976","12447.8"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1977","1977","12182.2"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1978","1978","12216.4"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1979","1979","12824"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1980","1980","12444.7"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1981","1981","13509.9"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1982","1982","12895.7"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1983","1983","13471.5"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1984","1984","14761.2"
"QCL","Crops and livestock products","356","India","5412","Yield","F1720","Roots and Tubers, Total","1985","1985","14749.6"
