iso3,year,rural_population
BRA,1960,55.3190381881774
BRA,1961,54.4970795432304
BRA,1962,53.6983154479834
BRA,1963,52.9127552883361
BRA,1964,52.1288559472791
BRA,1965,51.335074307803
BRA,1966,50.5198672528984
BRA,1967,49.6716916655557
BRA,1968,48.7790044287657
BRA,1969,47.8302624255188
BRA,1970,46.8166925177371
BRA,1971,45.6719678660153
BRA,1972,44.3396536356654
BRA,1973,42.8632940165272
BRA,1974,41.2914665622116
BRA,1975,39.6727488263295
BRA,1976,38.0557183624916
BRA,1977,36.4889527243088
BRA,1978,35.0210294653919
BRA,1979,33.7005261393516
BRA,1980,32.5819574696898
BRA,1981,31.6274037726071
BRA,1982,30.7442218066953
BRA,1983,29.9170874264709
BRA,1984,29.1392580145613
BRA,1985,28.4039909535937
BRA,1986,27.7045436261954
BRA,1987,27.0341734149936
BRA,1988,26.3861377026156
BRA,1989,25.7536938716888
BRA,1990,25.1300993048402
BRA,1991,24.5065498941115
BRA,1992,23.9089124759415
BRA,1993,23.3593597093043
BRA,1994,22.8289661088885
BRA,1995,22.2855000057546
BRA,1996,21.6978584544602
BRA,1997,20.9991506120741
BRA,1998,20.210931833914
BRA,1999,19.4533938674784
BRA,2000,18.8515634576194
BRA,2001,18.4039549378043
BRA,2002,18.0056508497327
BRA,2003,17.6459664158329
BRA,2004,17.3183175185441
BRA,2005,17.0161200403055
BRA,2006,16.7327898635561
BRA,2007,16.4617428707351
BRA,2008,16.1963949442816
BRA,2009,15.9301619666349
BRA,2010,15.656153963692
BRA,2011,15.3774241400317
BRA,2012,15.1026125818688
BRA,2013,14.8323414557274
BRA,2014,14.5668632101832
BRA,2015,14.3064302938119
BRA,2016,14.0512951551892
BRA,2017,13.8017102428909
BRA,2018,13.5579280054928
BRA,2019,13.3202008915704
BRA,2020,13.0887813496996
BRA,2021,12.8639218284561
BRA,2022,12.650443756119
BRA,2023,12.3840289764237
FRA,1960,38.3185950182224
FRA,1961,37.467395076946
FRA,1962,36.5401554290899
FRA,1963,35.4266905958636
FRA,1964,34.1397296019008
FRA,1965,32.8155727778541
FRA,1966,31.5771476804965
FRA,1967,30.5473818666006
FRA,1968,29.8161964588344
FRA,1969,29.213220247949
FRA,1970,28.6400220910709
FRA,1971,28.124867435642
FRA,1972,27.6852743717417
FRA,1973,27.3387609894492
FRA,1974,27.102845378844
FRA,1975,26.9858344530633
FRA,1976,26.9179984245505
FRA,1977,26.8660800178386
FRA,1978,26.8253272079205
FRA,1979,26.7893611384284
FRA,1980,26.7518029529944
FRA,1981,26.7062737952508
FRA,1982,26.6477468091956
FRA,1983,26.5819664509716
FRA,1984,26.512531503131
FRA,1985,26.4376428439898
FRA,1986,26.3559808313184
FRA,1987,26.2662258228873
FRA,1988,26.1670581764668
FRA,1989,26.0571582498272
FRA,1990,25.9324033567975
FRA,1991,25.7802137075834
FRA,1992,25.5948877039556
FRA,1993,25.3831217663224
FRA,1994,25.1500716467652
FRA,1995,24.9008930973653
FRA,1996,24.6407418702041
FRA,1997,24.3747737173631
FRA,1998,24.1081443909236
FRA,1999,23.8317296386032
FRA,2000,23.4856016853907
FRA,2001,23.0925586392189
FRA,2002,22.7456133392475
FRA,2003,22.5308783964862
FRA,2004,22.5099499988039
FRA,2005,22.5636684894562
FRA,2006,22.6532759931352
FRA,2007,22.7542023393843
FRA,2008,22.8438098430633
FRA,2009,22.8994608190324
FRA,2010,22.9037155191197
FRA,2011,22.8817282612491
FRA,2012,22.8330535080084
FRA,2013,22.7559278529082
FRA,2014,22.6475703211387
FRA,2015,22.2389080849934
FRA,2016,21.4000885294221
FRA,2017,21.3532195973632
FRA,2018,21.3285567463401
FRA,2019,21.3109215450644
FRA,2020,21.2880868234751
FRA,2021,21.2635396607662
FRA,2022,21.2408078876644
FRA,2023,21.2195676873453
IND,1960,82.0749926024688
IND,1961,81.9759910467392
IND,1962,81.8564289587875
IND,1963,81.716143975473
IND,1964,81.5569594871171
IND,1965,81.3802807283066
IND,1966,81.1875129336284
IND,1967,80.980061337669
IND,1968,80.7593311750154
IND,1969,80.5267276802543
IND,1970,80.2836560879724
IND,1971,80.026570934612
IND,1972,79.7234625854433
IND,1973,79.3604471385844
IND,1974,78.9555387957394
IND,1975,78.5238299621826
IND,1976,78.0804130431882
IND,1977,77.6403804440306
IND,1978,77.2188245699841
IND,1979,76.830837826323
IND,1980,76.4915126183217
IND,1981,76.2124651544298
IND,1982,75.9693318783248
IND,1983,75.7460480140874
IND,1984,75.5393366544406
IND,1985,75.345171141751
IND,1986,75.1595248183853
IND,1987,74.9783710267104
IND,1988,74.7976831090928
IND,1989,74.6134344078992
IND,1990,74.4215982654965
IND,1991,74.2202389094181
IND,1992,74.0191423297343
IND,1993,73.8232185318808
IND,1994,73.6289811361128
IND,1995,73.4338227860632
IND,1996,73.2351361253651
IND,1997,73.0303137976514
IND,1998,72.8167484465553
IND,1999,72.5918327157097
IND,2000,72.3529592487477
IND,2001,72.0971347903364
IND,2002,71.8243121089544
IND,2003,71.5339712302
IND,2004,71.2273932771472
IND,2005,70.9054502840893
IND,2006,70.5690142853196
IND,2007,70.2189573151316
IND,2008,69.8561514078185
IND,2009,69.4814685976737
IND,2010,69.0957809189906
IND,2011,68.7253497146691
IND,2012,68.4101064395601
IND,2013,68.0903210764763
IND,2014,67.7711766591179
IND,2015,67.4527009977701
IND,2016,67.1349219027177
IND,2017,66.8178671842461
IND,2018,66.5015646526402
IND,2019,66.1860421181853
IND,2020,65.8713273911667
IND,2021,65.5574482818696
IND,2022,65.2444326005794
IND,2023,64.9323081575814
NGA,1960,85.7679947878456
NGA,1961,85.2097351952026
NGA,1962,84.6454333195733
NGA,1963,84.0816165990816
NGA,1964,83.5153335592019
NGA,1965,82.9337176726681
NGA,1966,82.3350460552223
NGA,1967,81.7200737737384
NGA,1968,81.0895558950901
NGA,1969,80.4442474861515
NGA,1970,79.7849036137962
NGA,1971,79.1122793448983
NGA,1972,78.4271297463315
NGA,1973,77.7302098849698
NGA,1974,77.0222748276869
NGA,1975,76.3040796413567
NGA,1976,75.5763793928532
NGA,1977,74.8399291490501
NGA,1978,74.0954839768213
NGA,1979,73.3437989430407
NGA,1980,72.5856291145822
NGA,1981,71.8217295583195
NGA,1982,71.0528553411266
NGA,1983,70.2797615298773
NGA,1984,69.5032031914455
NGA,1985,68.723935392705
NGA,1986,67.9427132005298
NGA,1987,67.1602916817936
NGA,1988,66.3774259033703
NGA,1989,65.5948709321338
NGA,1990,64.8133818349579
NGA,1991,64.0342371795071
NGA,1992,63.2543565868824
NGA,1993,62.4664243908558
NGA,1994,61.6693426529886
NGA,1995,60.8635896416351
NGA,1996,60.0496436251496
NGA,1997,59.2279828718866
NGA,1998,58.3990856502003
NGA,1999,57.5634302284453
NGA,2000,56.7214948749757
NGA,2001,55.8737578581461
NGA,2002,55.0206974463107
NGA,2003,54.1627919078239
NGA,2004,53.3005195110401
NGA,2005,52.4343585243137
NGA,2006,51.575728005539
NGA,2007,50.7642012826802
NGA,2008,49.9494787687649
NGA,2009,49.13546515238
NGA,2010,48.3221811744554
NGA,2011,47.509647575921
NGA,2012,46.697885097707
NGA,2013,45.8869144807432
NGA,2014,45.0767564659596
NGA,2015,44.2674317942862
NGA,2016,43.458961206653
NGA,2017,42.6513654439899
NGA,2018,41.8446652472271
NGA,2019,41.0388813572944
NGA,2020,40.2340345151219
NGA,2021,39.4301454616396
NGA,2022,38.6272349377775
NGA,2023,37.8253236844657
USA,1960,30.0200937952584
USA,1961,29.5544127270642
USA,1962,29.0764672388638
USA,1963,28.6022243840733
USA,1964,28.1450525951005
USA,1965,27.718320304353
USA,1966,27.3353959442387
USA,1967,27.0096479471653
USA,1968,26.7544447455406
USA,1969,26.5831547717723
USA,1970,26.5047462192071
USA,1971,26.4669675402735
USA,1972,26.4371923250543
USA,1973,26.4144813068595
USA,1974,26.3964213946932
USA,1975,26.3805994975594
USA,1976,26.3646025244622
USA,1977,26.3460173844056
USA,1978,26.3224309863936
USA,1979,26.2914302394303
USA,1980,26.2493955978192
USA,1981,26.1860384843342
USA,1982,26.0964519709137
USA,1983,25.9836526230405
USA,1984,25.8499485636456
USA,1985,25.69764791566
USA,1986,25.5290588020147
USA,1987,25.3464893456406
USA,1988,25.1522476694689
USA,1989,24.9486418964304
USA,1990,24.7314491738061
USA,1991,24.456983161692
USA,1992,24.1056682388538
USA,1993,23.7001886634507
USA,1994,23.2594342226973
USA,1995,22.8022947038081
USA,1996,22.3476598939975
USA,1997,21.9144195804801
USA,1998,21.5214635504704
USA,1999,21.187681591183
USA,2000,20.9259102138673
USA,2001,20.6913776332088
USA,2002,20.4538960231343
USA,2003,20.2226649744716
USA,2004,20.0039063031637
USA,2005,19.8038418251536
USA,2006,19.6286933563841
USA,2007,19.4846827127984
USA,2008,19.3780317103394
USA,2009,19.3149621649501
USA,2010,19.3002255326634
USA,2011,19.3042445743976
USA,2012,19.3162506613762
USA,2013,19.339110718785
USA,2014,19.3757768220234
USA,2015,19.4292010464909
USA,2016,19.5023354675869
USA,2017,19.5981321607109
USA,2018,19.7195432012623
USA,2019,19.8695206646406
USA,2020,20.002548237452
USA,2021,19.9925234859728
USA,2022,19.9675021760293
USA,2023,19.928438880822
