setup,model,Balanced_Accuracy,Accuracy,TPR,TNR,TP,FP,TN,FN,N,alpha
ΔFSI: crops+macro+shocks+lags,RandomForest,0.8035714285714286,0.8181818181818182,0.8571428571428571,0.75,6,1,3,1,11,
ΔFSI: macro+shocks+lags,RandomForest,0.7321428571428572,0.7272727272727273,0.7142857142857143,0.75,5,1,3,2,11,
ΔFSI: crops+shocks+lags,GradientBoosting,0.6785714285714286,0.7272727272727273,0.8571428571428571,0.5,6,2,2,1,11,
ΔFSI: crops+shocks+lags,RidgeCV,0.625,0.7272727272727273,1.0,0.25,7,3,1,0,11,100.0
ΔFSI: crops+shocks+lags,RandomForest,0.5535714285714286,0.6363636363636364,0.8571428571428571,0.25,6,3,1,1,11,
ΔFSI: macro+shocks+lags,RidgeCV,0.5,0.6363636363636364,1.0,0.0,7,4,0,0,11,10000.0
ΔFSI: crops+macro+shocks+lags,RidgeCV,0.5,0.6363636363636364,1.0,0.0,7,4,0,0,11,10000.0
(baseline),Persistence (Δ=0),0.5,0.36363636363636365,0.0,1.0,0,0,4,7,11,
(baseline),Train-mean level (implied Δ),0.5,0.36363636363636365,0.0,1.0,0,0,4,7,11,
ΔFSI: crops+macro+shocks+lags,GradientBoosting,0.4107142857142857,0.45454545454545453,0.5714285714285714,0.25,4,3,1,3,11,
ΔFSI: macro+shocks+lags,GradientBoosting,0.35714285714285715,0.45454545454545453,0.7142857142857143,0.0,5,4,0,2,11,
