year,kcal_supply_kcal_cap_day,protein_supply_g_cap_day,gdp_pc_usd,food_prod_index_2014_16_100
1961,2937.193564221434,102.20099719517479,,41.21
1962,2914.756668939187,101.52473810229633,,41.26
1963,2916.796386692118,102.61963377648053,,42.93
1964,2984.1070725388595,104.5195997993296,,43.52
1965,2980.0276370329966,103.65012382277155,,45.33
1966,3012.6631210799014,105.53935557430508,,46.22
1967,3037.13973411508,105.97946069824188,,48.6
1968,3060.5964882737926,107.04215355847948,,49.08
1969,3093.2319723206974,106.4625029074408,,49.71
1970,3089.1525368148345,105.52862130298955,5165.167997,48.96
1971,3112.609290973547,106.5698456205961,5535.663898,53.18
1972,3122.807879738205,106.20488039586803,6009.65298,52.55
1973,3100.370984455958,104.5518026132762,6629.453816,53.59
1974,3091.192254567766,104.3156486443345,7118.426763,52.57
1975,3093.2319723206974,104.73428522564022,7689.085815,56.78
1976,3225.8136262612484,108.53421727133835,8470.509222,58.1
1977,3197.257577720207,106.5054399927029,9324.695054,60.17
1978,3217.654755249522,106.76306250427565,10433.184255,60.53
1979,3277.826428961003,107.6969441087269,11544.906233,63.35
1980,3241.111509408235,105.5071527603585,12430.713127,60.82
1981,3281.905864466866,108.0726436047705,13811.449871,65.92
1982,3254.3696748022903,106.49470572138738,14254.173749,66.62
1983,3294.1441709844553,108.01897224819284,15334.375883,57.69
1984,3340.0378204254152,109.24267917816343,16868.794957,65.38
1985,3447.123002454322,113.04261122386156,17952.629559,68.56
1986,3418.56695391328,112.24827514651223,18772.533403,66.04
1987,3518.513123806926,115.04991995986595,19723.7144,65.37
1988,3526.6719948186524,114.97478006065721,21081.24241,60.36
1989,3501.1755229070077,114.70642327776892,22505.550243,66.35
1990,3562.3670554949545,115.77985040932207,23535.005277,68.41
1991,3591.942962912462,117.51880236243817,24010.975336,67.33
1992,3629.6777413416958,118.06625019953026,25116.239649,73.35
1993,3676.5912496591213,118.57076095136024,26114.589437,67.27
1994,3737.7827822470676,121.45827993523821,27449.820945,77.0
1995,3651.0947777474767,119.86960778053955,28484.653041,71.51
1996,3658.2337898827373,119.90181059448615,29805.439177,76.52
1997,3720.4451813471496,120.52439833078697,31365.83296,79.13
1998,3730.6437701118075,121.20065742366545,32822.102379,80.11
1999,3745.941653258794,123.22943470230088,34546.891975,81.02
2000,3829.5700811289876,122.68198686520878,36417.513065,83.02
2001,3780.6168550586303,121.06111189656355,37223.661377,81.64
2002,3858.1261296700295,122.76786103573303,38069.328603,80.44
2003,3852.0069764112345,122.97181219072813,39517.523035,83.11
2004,3884.6424604581393,123.95936515175703,41727.355209,87.95
2005,3904.0197791109895,123.54072857045131,44093.54835,85.68
2006,3858.1261296700295,122.9932807333592,46247.692937,84.48
2007,3831.6097988819192,123.28310605887854,47952.641718,89.61
2008,3773.47784292337,121.17918888103438,48430.487907,91.2
2009,3717.3856047177524,119.04306888924363,47003.131705,93.03
2010,3730.68,119.07,48379.206655,92.23
2011,3724.24,116.9,49664.055415,91.36
2012,3759.04,117.48,51255.701654,90.89
2013,3745.33,117.28,52733.882025,95.8
2014,3728.99,116.72,54494.893321,98.13
2015,3736.74,117.58,56097.922727,97.01
2016,3754.29,118.57,57126.63516,104.86
2017,3763.31,119.21,59036.203856,101.95
2018,3790.3,120.66,61650.844422,103.19
2019,3819.76,122.02,63767.416914,99.64
2020,3847.34,124.35,62910.504568,103.12
2021,3875.35,121.05,69617.531988,104.86
2022,3937.0,123.04,76147.313402,101.28
2023,3947.33,123.1,80706.052992,104.64
2024,,,84489.390727,
