year,A_availability,X_access,U_utilization,S_stability,FSI_geomean
1961,0.0,,0.0,,
1962,0.0,,0.0,,
1963,0.0,,0.0,,
1964,0.004064632863446447,,0.04104702848049108,,
1965,0.0,,0.0,0.4860920734420199,
1966,0.03567844402358816,,0.09317894967897618,0.3912730258048279,
1967,0.06277599644656749,,0.11567798935411273,0.28830774042498597,
1968,0.08874448418525523,,0.17000493881358664,0.29453507187050043,
1969,0.12487455408256033,,0.14037205729023738,0.4911009442049479,
1970,0.12035829534539744,0.0,0.09263019261372989,0.7355699566245801,0.0016922446295061855
1971,0.14632678308408517,0.0,0.14585962794270904,0.5379067052609516,0.0018407358517962835
1972,0.15761742992699315,0.0,0.12720188772430452,0.49452229822919525,0.0017744792255299827
1973,0.132778006872596,0.0028547799949555745,0.042693299676232865,0.46850794262201556,0.05247396332320834
1974,0.12261642471397914,0.01036208506292352,0.030620644240794057,0.5808224185735942,0.06894668250062155
1975,0.12487455408256033,0.01912353417671546,0.05202216978543512,0.6347217025962991,0.09423310018379427
1976,0.27165296304036246,0.03112089300728462,0.2462821708829501,0.3512674810328831,0.1644501803459443
1977,0.24003915188022074,0.044235388737372545,0.14256708555122546,0.16731489701240432,0.12615412434890977
1978,0.26262044556603614,0.06125425787422693,0.15573725511715758,0.17085343692331267,0.1438368829370264
1979,0.3292352619391924,0.07832276052006093,0.2034791197936665,0.4473968685715445,0.2201160850167018
1980,0.2885889333047244,0.0919227411025596,0.09153267848323512,0.6705781256858019,0.20087784851567803
1981,0.3337515206763558,0.11312148434460803,0.2226856170773195,0.5010026938510976,0.2547564240765527
1982,0.3032667742005047,0.11991871767502336,0.14201832848597842,0.40222841408505794,0.21349231069904492
1983,0.34730029688784547,0.13650328948980722,0.21994183175108295,0.1118008323078965,0.1847780104084316
1984,0.3981082076809303,0.1600615500465551,0.28250013718926653,0.06480725096839102,0.18481303671932062
1985,0.516659999531463,0.17670189191077204,0.47676013828678004,0.00020436997762462994,0.05461233785326522
1986,0.4850461883713208,0.18929004902881316,0.4361521154584867,0.0,0.0025155746857988904
1987,0.5956945274318178,0.20389373204061156,0.5793777094880106,0.02280990533899574,0.2001604126737749
1988,0.604727044906144,0.22473614668115285,0.5755364100312779,0.3739580652924809,0.4135537920712188
1989,0.5765004277988747,0.2466038460674491,0.561817483400098,0.36115341729661055,0.4121180294202087
1990,0.6442443088563214,0.26240928692345067,0.6166931899248204,0.3728463406743775,0.4440247795916501
1991,0.6769871847007543,0.26971695590197947,0.705591834494869,0.3360643023906953,0.45615890410083415
1992,0.7187625780195138,0.28668631265133965,0.7335784448224764,0.0,0.0035063861689139065
1993,0.7706995534968888,0.30201418808706826,0.7593700268890958,0.47585502272097535,0.5385302961919259
1994,0.8384434345543367,0.32251427981692604,0.9069856774405967,0.06104586475626883,0.34980003531968695
1995,0.7424729363896194,0.3384022758430062,0.8257696317840093,0.12434774163858042,0.4007768967370731
1996,0.7503763891796545,0.3586805847215025,0.8274159029797518,0.19804433607306848,0.4582667312132106
1997,0.819249334921393,0.3826376404789073,0.8592438127640891,0.0,0.004051166103327088
1998,0.8305399817643014,0.40499605285460355,0.893815507874663,0.4205953857926755,0.5963221359192177
1999,0.8474759520286624,0.4314771122969967,0.9975305932063869,0.3023771266790981,0.5762886638807591
2000,0.9400592561405073,0.46019715350861146,0.9695439828787795,0.6890532904632318,0.7332125182125405
2001,0.8858641512945492,0.47257411903470503,0.886681666026451,0.9242203688578532,0.7653235568640672
2002,0.9716730673006491,0.48555782680527876,0.9739340394007571,1.0,0.8233275866725963
2003,0.964898679194904,0.5077922621977883,0.9843604236404534,0.999203074185171,0.8331897607670244
2004,1.0,0.5417202829216604,1.0,0.6024435537310489,0.7558278051799627
2005,1.0,0.5780489466405967,1.0,0.5608465807590794,0.7545745834699099
2006,0.9716730673006491,0.6111219840639143,0.9854579377709489,0.6227609375725789,0.7769657629558635
2007,0.9423173855090886,0.637298423277487,1.0,0.681049885654075,0.7997048741862552
2008,0.8779606985045141,0.6446348968766878,0.892717993744169,0.6613335493226009,0.7602928962923783
2009,0.8158621408685202,0.6227203952364363,0.7835153377599742,0.47094021399704955,0.658007414707575
2010,0.8305800911247406,0.643847564969282,0.784892109118559,0.5347698007136636,0.6883120186374566
2011,0.8234505002228795,0.6635741197136702,0.6739574404686736,1.0,0.7790042954629632
2012,0.8619768609969116,0.6880110010376114,0.7036081813981361,1.0,0.8037212809341049
2013,0.8467988033471421,0.7107058168933014,0.6933837879741833,0.8718585948433317,0.7766448388464668
2014,0.8287091270526683,0.7377429957563063,0.6647554863871158,0.6175679488010873,0.7078047518233942
2015,0.8372889918802185,0.7623546452506195,0.7087203781101121,0.5882849355516304,0.718246916211935
2016,0.8567182341671228,0.7781486847964157,0.7593311255586774,0.2539525627828184,0.5987852587632528
2017,0.8667040897470586,0.8074666968399609,0.7920491845153259,0.5337390057778933,0.7375120825203595
2018,0.8965841609335854,0.8476098264189607,0.8661760368389827,0.626878745412633,0.8014827668042349
2019,0.929198718071602,0.8801060115216369,0.9357019121218606,0.6822932453249793,0.8500374201441339
2020,0.9597319660643548,0.8669496550454777,1.0,0.9136495529273783,0.9337505510005
2021,0.9907412581701199,0.9699240654910641,0.8861136040156904,0.9136495529273783,0.939164695659022
2022,1.0,1.0,0.9878463185840196,0.8986376493541925,0.9706630525358448
2023,1.0,1.0,0.9909136366112048,0.8545649197648182,0.959279616801819
2024,,1.0,,,
