Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2010","2010","g/cap/d","119.07"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2011","2011","g/cap/d","116.9"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2012","2012","g/cap/d","117.48"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2013","2013","g/cap/d","117.28"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2014","2014","g/cap/d","116.72"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2015","2015","g/cap/d","117.58"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2016","2016","g/cap/d","118.57"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2017","2017","g/cap/d","119.21"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2018","2018","g/cap/d","120.66"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2019","2019","g/cap/d","122.02"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2020","2020","g/cap/d","124.35"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2021","2021","g/cap/d","121.05"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2022","2022","g/cap/d","123.04"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2023","2023","g/cap/d","123.1"
