group_desc,watershed_code,begin_code,state_name,county_name,zip_5,year,region_desc,class_desc,CV (%),short_desc,load_time,commodity_desc,asd_desc,util_practice_desc,freq_desc,county_ansi,unit_desc,congr_district_code,agg_level_desc,location_desc,sector_desc,prodn_practice_desc,end_code,source_desc,state_ansi,county_code,country_code,statisticcat_desc,week_ending,Value,reference_period_desc,domaincat_desc,asd_code,domain_desc,country_name,state_alpha,state_fips_code,watershed_desc
FIELD CROPS,00000000,00,US TOTAL,,,1960,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"71,422,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1960,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"7,176,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1961,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"57,634,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1961,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"6,261,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1962,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"55,726,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1962,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"7,201,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1963,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"59,227,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1963,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"7,692,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1964,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"55,369,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1964,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"8,620,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1965,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"55,392,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1965,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"8,054,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1966,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"57,002,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1966,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"7,934,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1967,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"60,694,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
