country_name,source_desc,statisticcat_desc,sector_desc,short_desc,begin_code,Value,year,util_practice_desc,zip_5,state_fips_code,reference_period_desc,state_alpha,domain_desc,asd_desc,unit_desc,state_name,state_ansi,watershed_desc,county_name,county_ansi,domaincat_desc,class_desc,congr_district_code,county_code,CV (%),prodn_practice_desc,region_desc,country_code,week_ending,asd_code,freq_desc,load_time,end_code,location_desc,agg_level_desc,group_desc,watershed_code,commodity_desc
UNITED STATES,SURVEY,YIELD,CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,54.7,1960,GRAIN,,99,YEAR,US,TOTAL,,BU / ACRE,US TOTAL,,,,,NOT SPECIFIED,ALL CLASSES,,,,ALL PRODUCTION PRACTICES,,9000,,,ANNUAL,2012-01-01 00:00:00.000,00,US TOTAL,NATIONAL,FIELD CROPS,00000000,CORN
UNITED STATES,SURVEY,YIELD,CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,62.4,1961,GRAIN,,99,YEAR,US,TOTAL,,BU / ACRE,US TOTAL,,,,,NOT SPECIFIED,ALL CLASSES,,,,ALL PRODUCTION PRACTICES,,9000,,,ANNUAL,2012-01-01 00:00:00.000,00,US TOTAL,NATIONAL,FIELD CROPS,00000000,CORN
UNITED STATES,SURVEY,YIELD,CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,64.7,1962,GRAIN,,99,YEAR,US,TOTAL,,BU / ACRE,US TOTAL,,,,,NOT SPECIFIED,ALL CLASSES,,,,ALL PRODUCTION PRACTICES,,9000,,,ANNUAL,2012-01-01 00:00:00.000,00,US TOTAL,NATIONAL,FIELD CROPS,00000000,CORN
UNITED STATES,SURVEY,YIELD,CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,67.9,1963,GRAIN,,99,YEAR,US,TOTAL,,BU / ACRE,US TOTAL,,,,,NOT SPECIFIED,ALL CLASSES,,,,ALL PRODUCTION PRACTICES,,9000,,,ANNUAL,2012-01-01 00:00:00.000,00,US TOTAL,NATIONAL,FIELD CROPS,00000000,CORN
UNITED STATES,SURVEY,YIELD,CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,62.9,1964,GRAIN,,99,YEAR,US,TOTAL,,BU / ACRE,US TOTAL,,,,,NOT SPECIFIED,ALL CLASSES,,,,ALL PRODUCTION PRACTICES,,9000,,,ANNUAL,2012-01-01 00:00:00.000,00,US TOTAL,NATIONAL,FIELD CROPS,00000000,CORN
UNITED STATES,SURVEY,YIELD,CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,74.1,1965,GRAIN,,99,YEAR,US,TOTAL,,BU / ACRE,US TOTAL,,,,,NOT SPECIFIED,ALL CLASSES,,,,ALL PRODUCTION PRACTICES,,9000,,,ANNUAL,2012-01-01 00:00:00.000,00,US TOTAL,NATIONAL,FIELD CROPS,00000000,CORN
UNITED STATES,SURVEY,YIELD,CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,73.1,1966,GRAIN,,99,YEAR,US,TOTAL,,BU / ACRE,US TOTAL,,,,,NOT SPECIFIED,ALL CLASSES,,,,ALL PRODUCTION PRACTICES,,9000,,,ANNUAL,2012-01-01 00:00:00.000,00,US TOTAL,NATIONAL,FIELD CROPS,00000000,CORN
UNITED STATES,SURVEY,YIELD,CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,80.1,1967,GRAIN,,99,YEAR,US,TOTAL,,BU / ACRE,US TOTAL,,,,,NOT SPECIFIED,ALL CLASSES,,,,ALL PRODUCTION PRACTICES,,9000,,,ANNUAL,2012-01-01 00:00:00.000,00,US TOTAL,NATIONAL,FIELD CROPS,00000000,CORN
UNITED STATES,SURVEY,YIELD,CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,79.5,1968,GRAIN,,99,YEAR,US,TOTAL,,BU / ACRE,US TOTAL,,,,,NOT SPECIFIED,ALL CLASSES,,,,ALL PRODUCTION PRACTICES,,9000,,,ANNUAL,2012-01-01 00:00:00.000,00,US TOTAL,NATIONAL,FIELD CROPS,00000000,CORN
UNITED STATES,SURVEY,YIELD,CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,85.9,1969,GRAIN,,99,YEAR,US,TOTAL,,BU / ACRE,US TOTAL,,,,,NOT SPECIFIED,ALL CLASSES,,,,ALL PRODUCTION PRACTICES,,9000,,,ANNUAL,2012-01-01 00:00:00.000,00,US TOTAL,NATIONAL,FIELD CROPS,00000000,CORN
