year,corn_production,corn_area_harvested,corn_yield_us,wheat_production,wheat_area_harvested,wheat_yield_us,soybeans_production,soybeans_area_harvested,soybeans_yield_us
1970,4152243000,57358000,72.39169776,1351558000,43564000,31.02465338,1127100000,42249000,26.6775545
1971,5646260000,64123000,88.05358452,1618636000,47685000,33.94434308,1176101000,42705000,27.54012411
1972,5579832000,57513000,97.01862188,1546209000,47303000,32.68733484,1270608000,45683000,27.81358492
1973,5670712000,62143000,91.25262701,1710787000,54148000,31.594648,1547543000,55667000,27.80000719
1974,4701402000,65405000,71.88138522,1781918000,65368000,27.25979072,1216287000,51341000,23.69036443
1975,5840757000,67625000,86.36978928,2126927000,69499000,30.60370653,1548344000,53617000,28.8778559
1976,6289169000,71506000,87.95302492,2148780000,70927000,30.2956561,1288608000,49401000,26.08465416
1977,6505041000,71614000,90.83476695,2045527000,66686000,30.67400954,1767267000,57830000,30.5596922
1978,7267927000,71930000,101.0416655,1775524000,56495000,31.42798478,1868754000,63663000,29.3538476
1979,7928139000,72400000,109.5046823,2134060000,62454000,34.1701092,2260665000,70343000,32.13773936
1980,6639396000,72961000,90.99924617,2380934000,71125000,33.47534622,1797543000,67813000,26.5073511
1981,8118650000,74524000,108.940073,2785357000,80642000,34.53978076,1989110000,66163000,30.06378187
1982,8235101000,72719000,113.2455204,2764967000,77937000,35.47694933,2190297000,69442000,31.54138706
1983,4174251000,51479000,81.08648187,2419824000,61390000,39.41723408,1635772000,62525000,26.16188725
1984,7672130000,71897000,106.7100157,2594777000,66928000,38.76967786,1860863000,66113000,28.14670337
1985,8875453000,75209000,118.0105174,2424115000,64704000,37.46468534,2099056000,61599000,34.0761376
1986,8225764000,68907000,119.3748676,2090570000,60688000,34.44783153,1942558000,58312000,33.31317739
1987,7131300000,59505000,119.8437106,2107685000,55945000,37.67423362,1937722000,57172000,33.89284965
1988,4928681000,58250000,84.61254936,1812201000,53189000,34.07097332,1548841000,57373000,26.99599115
1989,7531953000,64783000,116.264344,2036618000,62189000,32.74884626,1923666000,59538000,32.30988612
1990,7934028000,66952000,118.5032262,2729778000,69103000,39.50303171,1925947000,56512000,34.08031922
1991,7474765000,68822000,108.6101101,1980139000,57803000,34.25668218,1986539000,58011000,34.24417783
1992,9476698000,72077000,131.4801948,2466798000,62761000,39.30463186,2190354000,58233000,37.61362114
1993,6337730000,62933000,100.7059889,2396440000,62712000,38.21342008,1869718000,57307000,32.62634582
1994,10050520000,72514000,138.6010977,2320981000,61770000,37.57456694,2514869000,60809000,41.35685507
1995,7400051000,65210000,113.4803098,2182708000,60955000,35.80851448,2174254000,61544000,35.32844794
1996,9232557000,72644000,127.0931804,2277388000,62819000,36.25317181,2380274000,63349000,37.57397907
1997,9206832000,72671000,126.6919679,2481466000,62840000,39.48863781,2688750000,69110000,38.90536825
1998,9758685000,72589000,134.4375181,2547321000,59002000,43.1734687,2741014000,70441000,38.91219602
1999,9430612000,70487000,133.792217,2295560000,53773000,42.68982575,2653758000,72446000,36.63084228
2000,9915051000,72440000,136.872598,2228160000,53063000,41.99084108,2757810000,72408000,38.08708982
2001,9502580000,68768000,138.1831666,1947453000,48473000,40.17603614,2890682000,72975000,39.6119493
2002,8966787000,69330000,129.3348767,1605878000,45824000,35.04447451,2756147000,72497000,38.01739382
2003,10087292000,70944000,142.1866825,2344415000,53063000,44.18172738,2453845000,72476000,33.85734588
2004,11805581000,73631000,160.3343836,2156790000,49969000,43.16256079,3123790000,73958000,42.23735093
2005,11112187000,75117000,147.9317199,2103325000,50104000,41.9791833,3068342000,71251000,43.06384472
2006,10531123000,70638000,149.0858037,1808416000,46800000,38.64136752,3196726000,74602000,42.85040616
2007,13037875000,86520000,150.6920365,2051088000,50999000,40.21820036,2677117000,64146000,41.73474574
2008,12043203000,78570000,153.279916,2511896000,56036000,44.8264687,2967007000,74681000,39.72907433
2009,13067156000,79490000,164.3874198,2208918000,49841000,44.31929536,3360931000,76372000,44.00737181
2010,12425330000,81446000,152.5591189,2163023000,46883000,46.13661668,3331306000,76610000,43.48395771
2011,12313956000,83879000,146.8061851,1993111000,45687000,43.625342,3097179000,73776000,41.98084743
2012,53691984000,526380000,102.0023253,6744628000,97584000,69.11612559,14199680000,452115000,31.40723046
2013,55425769000,352963000,157.0299691,6362707000,136792000,46.51373618,13019360000,304677000,42.73167978
2014,71526897000,500857000,142.8090193,6047651000,185105000,32.67146214,19541912000,501591000,38.95985375
2015,68081402000,485384000,140.2629712,6345865000,192680000,32.93473635,19647562000,498147000,39.44129343
2016,75677408000,520070000,145.5138885,6890176000,176127000,39.12049828,21187576000,497911000,42.55293818
2017,71804453000,499459000,143.7644591,5239870000,151900000,34.49552337,22079629000,534677000,41.29526611
2018,73138649000,490013000,149.2585891,5643593000,158313000,35.64832326,22996359000,530871000,43.31816769
2019,68708448000,492250000,139.5803921,5833223000,152609000,38.22332235,17964196000,457168000,39.29451755
2020,73492958000,498741000,147.3569608,5480899000,146643000,37.375797,21392073000,496241000,43.1082337
2021,74845117000,509233000,146.976172,5089079000,151451000,33.60214855,22050257000,519040000,42.48277011
2022,69778220000,485017000,143.8675758,5213430000,148256000,35.16505234,21837609000,520789000,41.93177851
2023,75883923000,520438000,145.8078061,5277206000,150393000,35.089439,20747371000,496036000,41.82634123
