county_ansi,asd_desc,util_practice_desc,freq_desc,commodity_desc,short_desc,load_time,CV (%),class_desc,year,region_desc,zip_5,county_name,state_name,group_desc,watershed_code,begin_code,state_fips_code,watershed_desc,country_name,state_alpha,domain_desc,asd_code,domaincat_desc,reference_period_desc,week_ending,Value,county_code,state_ansi,statisticcat_desc,country_code,source_desc,end_code,prodn_practice_desc,location_desc,sector_desc,unit_desc,agg_level_desc,congr_district_code
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1960,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"23,655,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1961,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"27,003,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1962,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"27,608,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1963,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"28,615,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1964,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"30,793,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1965,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"34,449,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1966,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"36,546,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1967,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"39,805,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1968,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"41,391,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1969,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"41,337,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
