prodn_practice_desc,end_code,sector_desc,location_desc,unit_desc,congr_district_code,agg_level_desc,week_ending,Value,county_code,state_ansi,country_code,statisticcat_desc,source_desc,asd_code,domaincat_desc,reference_period_desc,state_fips_code,watershed_desc,country_name,state_alpha,domain_desc,county_name,state_name,watershed_code,group_desc,begin_code,class_desc,year,region_desc,zip_5,CV (%),county_ansi,asd_desc,util_practice_desc,freq_desc,commodity_desc,short_desc,load_time
ALL PRODUCTION PRACTICES,00,CROPS,US TOTAL,ACRES,,NATIONAL,,"51,879,000",,,9000,AREA HARVESTED,SURVEY,,NOT SPECIFIED,YEAR,99,,UNITED STATES,US,TOTAL,,US TOTAL,00000000,FIELD CROPS,00,ALL CLASSES,1960,,,,,,ALL UTILIZATION PRACTICES,ANNUAL,WHEAT,WHEAT - ACRES HARVESTED,2012-01-01 00:00:00.000
ALL PRODUCTION PRACTICES,00,CROPS,US TOTAL,ACRES,,NATIONAL,,"10,202,000",,,9000,AREA HARVESTED,SURVEY,,NOT SPECIFIED,YEAR,99,,UNITED STATES,US,TOTAL,,US TOTAL,00000000,FIELD CROPS,00,"SPRING, (EXCL DURUM)",1960,,,,,,ALL UTILIZATION PRACTICES,ANNUAL,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",2012-01-01 00:00:00.000
ALL PRODUCTION PRACTICES,00,CROPS,US TOTAL,ACRES,,NATIONAL,,"1,650,000",,,9000,AREA HARVESTED,SURVEY,,NOT SPECIFIED,YEAR,99,,UNITED STATES,US,TOTAL,,US TOTAL,00000000,FIELD CROPS,00,"SPRING, DURUM",1960,,,,,,ALL UTILIZATION PRACTICES,ANNUAL,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",2012-01-01 00:00:00.000
ALL PRODUCTION PRACTICES,00,CROPS,US TOTAL,ACRES,,NATIONAL,,"40,027,000",,,9000,AREA HARVESTED,SURVEY,,NOT SPECIFIED,YEAR,99,,UNITED STATES,US,TOTAL,,US TOTAL,00000000,FIELD CROPS,00,WINTER,1960,,,,,,ALL UTILIZATION PRACTICES,ANNUAL,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",2012-01-01 00:00:00.000
ALL PRODUCTION PRACTICES,00,CROPS,US TOTAL,ACRES,,NATIONAL,,"51,571,000",,,9000,AREA HARVESTED,SURVEY,,NOT SPECIFIED,YEAR,99,,UNITED STATES,US,TOTAL,,US TOTAL,00000000,FIELD CROPS,00,ALL CLASSES,1961,,,,,,ALL UTILIZATION PRACTICES,ANNUAL,WHEAT,WHEAT - ACRES HARVESTED,2012-01-01 00:00:00.000
ALL PRODUCTION PRACTICES,00,CROPS,US TOTAL,ACRES,,NATIONAL,,"9,193,000",,,9000,AREA HARVESTED,SURVEY,,NOT SPECIFIED,YEAR,99,,UNITED STATES,US,TOTAL,,US TOTAL,00000000,FIELD CROPS,00,"SPRING, (EXCL DURUM)",1961,,,,,,ALL UTILIZATION PRACTICES,ANNUAL,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",2012-01-01 00:00:00.000
ALL PRODUCTION PRACTICES,00,CROPS,US TOTAL,ACRES,,NATIONAL,,"1,624,000",,,9000,AREA HARVESTED,SURVEY,,NOT SPECIFIED,YEAR,99,,UNITED STATES,US,TOTAL,,US TOTAL,00000000,FIELD CROPS,00,"SPRING, DURUM",1961,,,,,,ALL UTILIZATION PRACTICES,ANNUAL,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",2012-01-01 00:00:00.000
ALL PRODUCTION PRACTICES,00,CROPS,US TOTAL,ACRES,,NATIONAL,,"40,754,000",,,9000,AREA HARVESTED,SURVEY,,NOT SPECIFIED,YEAR,99,,UNITED STATES,US,TOTAL,,US TOTAL,00000000,FIELD CROPS,00,WINTER,1961,,,,,,ALL UTILIZATION PRACTICES,ANNUAL,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",2012-01-01 00:00:00.000
ALL PRODUCTION PRACTICES,00,CROPS,US TOTAL,ACRES,,NATIONAL,,"43,688,000",,,9000,AREA HARVESTED,SURVEY,,NOT SPECIFIED,YEAR,99,,UNITED STATES,US,TOTAL,,US TOTAL,00000000,FIELD CROPS,00,ALL CLASSES,1962,,,,,,ALL UTILIZATION PRACTICES,ANNUAL,WHEAT,WHEAT - ACRES HARVESTED,2012-01-01 00:00:00.000
ALL PRODUCTION PRACTICES,00,CROPS,US TOTAL,ACRES,,NATIONAL,,"7,587,000",,,9000,AREA HARVESTED,SURVEY,,NOT SPECIFIED,YEAR,99,,UNITED STATES,US,TOTAL,,US TOTAL,00000000,FIELD CROPS,00,"SPRING, (EXCL DURUM)",1962,,,,,,ALL UTILIZATION PRACTICES,ANNUAL,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",2012-01-01 00:00:00.000
ALL PRODUCTION PRACTICES,00,CROPS,US TOTAL,ACRES,,NATIONAL,,"2,367,000",,,9000,AREA HARVESTED,SURVEY,,NOT SPECIFIED,YEAR,99,,UNITED STATES,US,TOTAL,,US TOTAL,00000000,FIELD CROPS,00,"SPRING, DURUM",1962,,,,,,ALL UTILIZATION PRACTICES,ANNUAL,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",2012-01-01 00:00:00.000
ALL PRODUCTION PRACTICES,00,CROPS,US TOTAL,ACRES,,NATIONAL,,"33,734,000",,,9000,AREA HARVESTED,SURVEY,,NOT SPECIFIED,YEAR,99,,UNITED STATES,US,TOTAL,,US TOTAL,00000000,FIELD CROPS,00,WINTER,1962,,,,,,ALL UTILIZATION PRACTICES,ANNUAL,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",2012-01-01 00:00:00.000
ALL PRODUCTION PRACTICES,00,CROPS,US TOTAL,ACRES,,NATIONAL,,"45,506,000",,,9000,AREA HARVESTED,SURVEY,,NOT SPECIFIED,YEAR,99,,UNITED STATES,US,TOTAL,,US TOTAL,00000000,FIELD CROPS,00,ALL CLASSES,1963,,,,,,ALL UTILIZATION PRACTICES,ANNUAL,WHEAT,WHEAT - ACRES HARVESTED,2012-01-01 00:00:00.000
ALL PRODUCTION PRACTICES,00,CROPS,US TOTAL,ACRES,,NATIONAL,,"8,700,000",,,9000,AREA HARVESTED,SURVEY,,NOT SPECIFIED,YEAR,99,,UNITED STATES,US,TOTAL,,US TOTAL,00000000,FIELD CROPS,00,"SPRING, (EXCL DURUM)",1963,,,,,,ALL UTILIZATION PRACTICES,ANNUAL,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",2012-01-01 00:00:00.000
ALL PRODUCTION PRACTICES,00,CROPS,US TOTAL,ACRES,,NATIONAL,,"1,999,000",,,9000,AREA HARVESTED,SURVEY,,NOT SPECIFIED,YEAR,99,,UNITED STATES,US,TOTAL,,US TOTAL,00000000,FIELD CROPS,00,"SPRING, DURUM",1963,,,,,,ALL UTILIZATION PRACTICES,ANNUAL,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",2012-01-01 00:00:00.000
ALL PRODUCTION PRACTICES,00,CROPS,US TOTAL,ACRES,,NATIONAL,,"34,807,000",,,9000,AREA HARVESTED,SURVEY,,NOT SPECIFIED,YEAR,99,,UNITED STATES,US,TOTAL,,US TOTAL,00000000,FIELD CROPS,00,WINTER,1963,,,,,,ALL UTILIZATION PRACTICES,ANNUAL,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",2012-01-01 00:00:00.000
ALL PRODUCTION PRACTICES,00,CROPS,US TOTAL,ACRES,,NATIONAL,,"49,762,000",,,9000,AREA HARVESTED,SURVEY,,NOT SPECIFIED,YEAR,99,,UNITED STATES,US,TOTAL,,US TOTAL,00000000,FIELD CROPS,00,ALL CLASSES,1964,,,,,,ALL UTILIZATION PRACTICES,ANNUAL,WHEAT,WHEAT - ACRES HARVESTED,2012-01-01 00:00:00.000
ALL PRODUCTION PRACTICES,00,CROPS,US TOTAL,ACRES,,NATIONAL,,"9,220,000",,,9000,AREA HARVESTED,SURVEY,,NOT SPECIFIED,YEAR,99,,UNITED STATES,US,TOTAL,,US TOTAL,00000000,FIELD CROPS,00,"SPRING, (EXCL DURUM)",1964,,,,,,ALL UTILIZATION PRACTICES,ANNUAL,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",2012-01-01 00:00:00.000
ALL PRODUCTION PRACTICES,00,CROPS,US TOTAL,ACRES,,NATIONAL,,"2,467,000",,,9000,AREA HARVESTED,SURVEY,,NOT SPECIFIED,YEAR,99,,UNITED STATES,US,TOTAL,,US TOTAL,00000000,FIELD CROPS,00,"SPRING, DURUM",1964,,,,,,ALL UTILIZATION PRACTICES,ANNUAL,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",2012-01-01 00:00:00.000
ALL PRODUCTION PRACTICES,00,CROPS,US TOTAL,ACRES,,NATIONAL,,"38,075,000",,,9000,AREA HARVESTED,SURVEY,,NOT SPECIFIED,YEAR,99,,UNITED STATES,US,TOTAL,,US TOTAL,00000000,FIELD CROPS,00,WINTER,1964,,,,,,ALL UTILIZATION PRACTICES,ANNUAL,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",2012-01-01 00:00:00.000
ALL PRODUCTION PRACTICES,00,CROPS,US TOTAL,ACRES,,NATIONAL,,"49,560,000",,,9000,AREA HARVESTED,SURVEY,,NOT SPECIFIED,YEAR,99,,UNITED STATES,US,TOTAL,,US TOTAL,00000000,FIELD CROPS,00,ALL CLASSES,1965,,,,,,ALL UTILIZATION PRACTICES,ANNUAL,WHEAT,WHEAT - ACRES HARVESTED,2012-01-01 00:00:00.000
ALL PRODUCTION PRACTICES,00,CROPS,US TOTAL,ACRES,,NATIONAL,,"9,678,000",,,9000,AREA HARVESTED,SURVEY,,NOT SPECIFIED,YEAR,99,,UNITED STATES,US,TOTAL,,US TOTAL,00000000,FIELD CROPS,00,"SPRING, (EXCL DURUM)",1965,,,,,,ALL UTILIZATION PRACTICES,ANNUAL,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",2012-01-01 00:00:00.000
