load_time,end_code,week_ending,asd_code,freq_desc,commodity_desc,watershed_code,group_desc,location_desc,agg_level_desc,county_ansi,domaincat_desc,class_desc,unit_desc,state_name,state_ansi,watershed_desc,county_name,CV (%),prodn_practice_desc,country_code,region_desc,congr_district_code,county_code,state_fips_code,Value,year,util_practice_desc,zip_5,state_alpha,domain_desc,asd_desc,reference_period_desc,source_desc,statisticcat_desc,country_name,begin_code,sector_desc,short_desc
2012-01-01 00:00:00.000,00,,,ANNUAL,WHEAT,00000000,FIELD CROPS,US TOTAL,NATIONAL,,NOT SPECIFIED,ALL CLASSES,BU,US TOTAL,,,,,ALL PRODUCTION PRACTICES,9000,,,,99,"1,354,709,000",1960,ALL UTILIZATION PRACTICES,,US,TOTAL,,YEAR,SURVEY,PRODUCTION,UNITED STATES,00,CROPS,"WHEAT - PRODUCTION, MEASURED IN BU"
2012-01-01 00:00:00.000,00,,,ANNUAL,WHEAT,00000000,FIELD CROPS,US TOTAL,NATIONAL,,NOT SPECIFIED,"SPRING, (EXCL DURUM)",BU,US TOTAL,,,,,ALL PRODUCTION PRACTICES,9000,,,,99,"208,945,000",1960,ALL UTILIZATION PRACTICES,,US,TOTAL,,YEAR,SURVEY,PRODUCTION,UNITED STATES,00,CROPS,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU"
2012-01-01 00:00:00.000,00,,,ANNUAL,WHEAT,00000000,FIELD CROPS,US TOTAL,NATIONAL,,NOT SPECIFIED,"SPRING, DURUM",BU,US TOTAL,,,,,ALL PRODUCTION PRACTICES,9000,,,,99,"34,361,000",1960,ALL UTILIZATION PRACTICES,,US,TOTAL,,YEAR,SURVEY,PRODUCTION,UNITED STATES,00,CROPS,"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU"
2012-01-01 00:00:00.000,00,,,ANNUAL,WHEAT,00000000,FIELD CROPS,US TOTAL,NATIONAL,,NOT SPECIFIED,"SPRING, RED, HARD",BU,US TOTAL,,,,,ALL PRODUCTION PRACTICES,9000,,,,99,"187,925,000",1960,ALL UTILIZATION PRACTICES,,US,TOTAL,,YEAR,SURVEY,PRODUCTION,UNITED STATES,00,CROPS,"WHEAT, SPRING, RED, HARD - PRODUCTION, MEASURED IN BU"
2012-01-01 00:00:00.000,00,,,ANNUAL,WHEAT,00000000,FIELD CROPS,US TOTAL,NATIONAL,,NOT SPECIFIED,WINTER,BU,US TOTAL,,,,,ALL PRODUCTION PRACTICES,9000,,,,99,"1,111,403,000",1960,ALL UTILIZATION PRACTICES,,US,TOTAL,,YEAR,SURVEY,PRODUCTION,UNITED STATES,00,CROPS,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU"
2012-01-01 00:00:00.000,00,,,ANNUAL,WHEAT,00000000,FIELD CROPS,US TOTAL,NATIONAL,,NOT SPECIFIED,"WINTER, RED, HARD",BU,US TOTAL,,,,,ALL PRODUCTION PRACTICES,9000,,,,99,"794,386,000",1960,ALL UTILIZATION PRACTICES,,US,TOTAL,,YEAR,SURVEY,PRODUCTION,UNITED STATES,00,CROPS,"WHEAT, WINTER, RED, HARD - PRODUCTION, MEASURED IN BU"
2012-01-01 00:00:00.000,00,,,ANNUAL,WHEAT,00000000,FIELD CROPS,US TOTAL,NATIONAL,,NOT SPECIFIED,"WINTER, RED, SOFT",BU,US TOTAL,,,,,ALL PRODUCTION PRACTICES,9000,,,,99,"189,808,000",1960,ALL UTILIZATION PRACTICES,,US,TOTAL,,YEAR,SURVEY,PRODUCTION,UNITED STATES,00,CROPS,"WHEAT, WINTER, RED, SOFT - PRODUCTION, MEASURED IN BU"
2012-01-01 00:00:00.000,00,,,ANNUAL,WHEAT,00000000,FIELD CROPS,US TOTAL,NATIONAL,,NOT SPECIFIED,ALL CLASSES,BU,US TOTAL,,,,,ALL PRODUCTION PRACTICES,9000,,,,99,"1,232,359,000",1961,ALL UTILIZATION PRACTICES,,US,TOTAL,,YEAR,SURVEY,PRODUCTION,UNITED STATES,00,CROPS,"WHEAT - PRODUCTION, MEASURED IN BU"
2012-01-01 00:00:00.000,00,,,ANNUAL,WHEAT,00000000,FIELD CROPS,US TOTAL,NATIONAL,,NOT SPECIFIED,"SPRING, (EXCL DURUM)",BU,US TOTAL,,,,,ALL PRODUCTION PRACTICES,9000,,,,99,"136,213,000",1961,ALL UTILIZATION PRACTICES,,US,TOTAL,,YEAR,SURVEY,PRODUCTION,UNITED STATES,00,CROPS,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU"
2012-01-01 00:00:00.000,00,,,ANNUAL,WHEAT,00000000,FIELD CROPS,US TOTAL,NATIONAL,,NOT SPECIFIED,"SPRING, DURUM",BU,US TOTAL,,,,,ALL PRODUCTION PRACTICES,9000,,,,99,"21,339,000",1961,ALL UTILIZATION PRACTICES,,US,TOTAL,,YEAR,SURVEY,PRODUCTION,UNITED STATES,00,CROPS,"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU"
2012-01-01 00:00:00.000,00,,,ANNUAL,WHEAT,00000000,FIELD CROPS,US TOTAL,NATIONAL,,NOT SPECIFIED,"SPRING, RED, HARD",BU,US TOTAL,,,,,ALL PRODUCTION PRACTICES,9000,,,,99,"116,535,000",1961,ALL UTILIZATION PRACTICES,,US,TOTAL,,YEAR,SURVEY,PRODUCTION,UNITED STATES,00,CROPS,"WHEAT, SPRING, RED, HARD - PRODUCTION, MEASURED IN BU"
2012-01-01 00:00:00.000,00,,,ANNUAL,WHEAT,00000000,FIELD CROPS,US TOTAL,NATIONAL,,NOT SPECIFIED,WINTER,BU,US TOTAL,,,,,ALL PRODUCTION PRACTICES,9000,,,,99,"1,074,807,000",1961,ALL UTILIZATION PRACTICES,,US,TOTAL,,YEAR,SURVEY,PRODUCTION,UNITED STATES,00,CROPS,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU"
2012-01-01 00:00:00.000,00,,,ANNUAL,WHEAT,00000000,FIELD CROPS,US TOTAL,NATIONAL,,NOT SPECIFIED,"WINTER, RED, HARD",BU,US TOTAL,,,,,ALL PRODUCTION PRACTICES,9000,,,,99,"753,802,000",1961,ALL UTILIZATION PRACTICES,,US,TOTAL,,YEAR,SURVEY,PRODUCTION,UNITED STATES,00,CROPS,"WHEAT, WINTER, RED, HARD - PRODUCTION, MEASURED IN BU"
2012-01-01 00:00:00.000,00,,,ANNUAL,WHEAT,00000000,FIELD CROPS,US TOTAL,NATIONAL,,NOT SPECIFIED,"WINTER, RED, SOFT",BU,US TOTAL,,,,,ALL PRODUCTION PRACTICES,9000,,,,99,"201,522,000",1961,ALL UTILIZATION PRACTICES,,US,TOTAL,,YEAR,SURVEY,PRODUCTION,UNITED STATES,00,CROPS,"WHEAT, WINTER, RED, SOFT - PRODUCTION, MEASURED IN BU"
2012-01-01 00:00:00.000,00,,,ANNUAL,WHEAT,00000000,FIELD CROPS,US TOTAL,NATIONAL,,NOT SPECIFIED,ALL CLASSES,BU,US TOTAL,,,,,ALL PRODUCTION PRACTICES,9000,,,,99,"1,091,958,000",1962,ALL UTILIZATION PRACTICES,,US,TOTAL,,YEAR,SURVEY,PRODUCTION,UNITED STATES,00,CROPS,"WHEAT - PRODUCTION, MEASURED IN BU"
2012-01-01 00:00:00.000,00,,,ANNUAL,WHEAT,00000000,FIELD CROPS,US TOTAL,NATIONAL,,NOT SPECIFIED,"SPRING, (EXCL DURUM)",BU,US TOTAL,,,,,ALL PRODUCTION PRACTICES,9000,,,,99,"198,811,000",1962,ALL UTILIZATION PRACTICES,,US,TOTAL,,YEAR,SURVEY,PRODUCTION,UNITED STATES,00,CROPS,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU"
2012-01-01 00:00:00.000,00,,,ANNUAL,WHEAT,00000000,FIELD CROPS,US TOTAL,NATIONAL,,NOT SPECIFIED,"SPRING, DURUM",BU,US TOTAL,,,,,ALL PRODUCTION PRACTICES,9000,,,,99,"70,260,000",1962,ALL UTILIZATION PRACTICES,,US,TOTAL,,YEAR,SURVEY,PRODUCTION,UNITED STATES,00,CROPS,"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU"
2012-01-01 00:00:00.000,00,,,ANNUAL,WHEAT,00000000,FIELD CROPS,US TOTAL,NATIONAL,,NOT SPECIFIED,"SPRING, RED, HARD",BU,US TOTAL,,,,,ALL PRODUCTION PRACTICES,9000,,,,99,"178,686,000",1962,ALL UTILIZATION PRACTICES,,US,TOTAL,,YEAR,SURVEY,PRODUCTION,UNITED STATES,00,CROPS,"WHEAT, SPRING, RED, HARD - PRODUCTION, MEASURED IN BU"
2012-01-01 00:00:00.000,00,,,ANNUAL,WHEAT,00000000,FIELD CROPS,US TOTAL,NATIONAL,,NOT SPECIFIED,WINTER,BU,US TOTAL,,,,,ALL PRODUCTION PRACTICES,9000,,,,99,"822,887,000",1962,ALL UTILIZATION PRACTICES,,US,TOTAL,,YEAR,SURVEY,PRODUCTION,UNITED STATES,00,CROPS,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU"
