Value,week_ending,country_code,statisticcat_desc,county_code,state_ansi,source_desc,end_code,prodn_practice_desc,sector_desc,location_desc,agg_level_desc,congr_district_code,unit_desc,watershed_desc,state_fips_code,state_alpha,country_name,domain_desc,asd_code,domaincat_desc,reference_period_desc,class_desc,region_desc,year,zip_5,county_name,state_name,begin_code,group_desc,watershed_code,county_ansi,freq_desc,util_practice_desc,asd_desc,commodity_desc,load_time,short_desc,CV (%)
26.1,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,ALL CLASSES,,1960,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
20.5,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, (EXCL DURUM)",,1960,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
20.8,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, DURUM",,1960,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
27.8,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,WINTER,,1960,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
23.9,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,ALL CLASSES,,1961,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
14.8,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, (EXCL DURUM)",,1961,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
13.1,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, DURUM",,1961,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
26.4,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,WINTER,,1961,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
25,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,ALL CLASSES,,1962,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
26.2,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, (EXCL DURUM)",,1962,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
