year,corn_production,corn_area_harvested,corn_yield,wheat_production,wheat_area_harvested,wheat_yield,soybeans_production,soybeans_area_harvested,soybeans_yield,A_availability,X_access,U_utilization,S_stability,FSI_geomean,cpi_food_index,cpi_food_yoy_pct,iENERGY,iAGRICULTURE,iFOOD,iGRAINS,iFERTILIZERS,iMETMIN,CRUDE_PETRO,MAIZE,SOYBEANS,WHEAT_US_HRW,WHEAT_US_SRW,us_population
1970,4152243000.0,57358000.0,72.39169775794134,1351558000.0,43564000.0,31.024653383527685,1127100000.0,42249000.0,26.67755449833132,0.1203582953453974,0.0,0.0926301926137298,0.7355699566245801,0.0016922446295061,39.925000000000004,4.9967126890203994,2.11311453784639,24.64563716387,26.0936772533,27.44792480206,8.69299740406,18.27384108503,1.21,58.4,116.91666666667,54.9025,,
1971,5646260000.0,64123000.0,88.0535845172559,1618636000.0,47685000.0,33.94434308482752,1176101000.0,42705000.0,27.5401241072474,0.1463267830840851,0.0,0.145859627942709,0.5379067052609516,0.0018407358517962,40.891666666666666,2.4212064287205015,2.70936939051966,24.62716930848,26.62365467549,27.35459850323,8.51416868529,16.8007732166,1.69,58.4,125.58333333333,61.72833333333,,
1972,5579832000.0,57513000.0,97.01862187679308,1546209000.0,47303000.0,32.687334841341986,1270608000.0,45683000.0,27.81358492218112,0.1576174299269931,0.0,0.1272018877243045,0.4945222982291952,0.0017744792255299,42.708333333333336,4.442632973303451,2.92528497197365,26.09892699168,28.55323298436,28.83159931739,11.88708413578,16.46221884098,1.82,55.7525,140.0,69.8125,,
1973,5670712000.0,62143000.0,91.25262700545515,1710787000.0,54148000.0,31.59464800177292,1547543000.0,55667000.0,27.80000718558572,0.132778006872596,0.0028547799949555,0.0426932996762328,0.4685079426220155,0.0524739633232083,49.666666666666664,16.29268292682926,4.1740098635899,42.69879901029,50.03480567363,56.35876235846,19.68891732891,21.49028212624,2.8075,97.82166666667,290.33333333333,139.81,,
1974,4701402000.0,65405000.0,71.88138521519761,1781918000.0,65368000.0,27.259790723289683,1216287000.0,51341000.0,23.69036442609221,0.1226164247139791,0.0103620850629235,0.030620644240794,0.5808224185735942,0.0689466825006215,57.041666666666664,14.848993288590595,13.8029622412604,56.1911485006,68.61049726392,82.58080441648,70.51417413976,26.70617307809,10.9749994278,131.22583333333,276.91666666667,179.70583333333,,
1975,5840757000.0,67625000.0,86.36978927911275,2126927000.0,69499000.0,30.603706528151484,1548344000.0,53617000.0,28.877855903911072,0.1248745540825603,0.0191235341767154,0.0520221697854351,0.6347217025962991,0.0942331001837942,61.75,8.254200146092039,13.8493572313914,45.36458491839,52.94666702198,65.58260743432,51.2133943471,23.34227125951,10.43250012398,119.635,219.91666666667,149.055,,
1976,6289169000.0,71506000.0,87.95302492098565,2148780000.0,70927000.0,30.29565609711393,1288608000.0,49401000.0,26.084654156798447,0.2716529630403624,0.0311208930072846,0.2462821708829501,0.3512674810328831,0.1644501803459443,63.05833333333334,2.1187584345479182,15.3701481052498,48.26704064277,47.61024356843,55.49915132775,25.99310812504,25.34049851961,11.63000011444,112.37166666667,231.16666666667,132.92,,
1977,6505041000.0,71614000.0,90.83476694501076,2045527000.0,66686000.0,30.6740095372342,1767267000.0,57830000.0,30.559692201279613,0.2400391518802207,0.0442353887373725,0.1425670855512254,0.1673148970124043,0.1261541243489097,66.8,5.933659310162542,16.84637631586,56.29596515968,49.34962754736,49.30217719406,36.07970758711,28.33081622651,12.56500005722,95.35,280.16666666667,103.21833333333,,
1978,7267927000.0,71930000.0,101.04166550813292,1775524000.0,56495000.0,31.42798477741393,1868754000.0,63663000.0,29.3538476037887,0.2626204455660361,0.0612542578742269,0.1557372551171575,0.1708534369233126,0.1438368829370264,73.83333333333333,10.52894211576847,17.67004441125,55.90107969853,54.46639440601,59.19186931884,33.61459419753,30.70139479205,12.91666666667,100.7425,268.33333333333,127.745,,
1979,7928139000.0,72400000.0,109.504682320442,2134060000.0,62454000.0,34.17010920037147,2260665000.0,70343000.0,32.137739362836385,0.3292352619391924,0.0783227605200609,0.2034791197936665,0.4473968685715445,0.2201160850167018,81.81666666666668,10.812641083521468,39.03839955154,63.33111899326,61.67687987375,64.34502897788,40.50676405343,39.0517492957,30.9645832777,115.5225,297.75,160.29333333333,156.31,
